,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long
0,Alabama A & M University,Main Campus,4900 MERIDIAN ST,NORMAL,AL,35762,1,"Public, 4-year or above",2413.0,3446.0,5859.0,1,0,1,0,"Alabama A & M University, 4900 MERIDIAN ST, NORMAL, AL, 35762","[34.7846326, -86.572031]",34.7846326,-86.572031
4,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1,"Public, 4-year or above",4833.0,3635.0,8468.0,1,2,0,0,"University of Alabama in Huntsville, 301 SPARKMAN DR, HUNTSVILLE, AL, 35899","[34.7251471, -86.639783]",34.7251471,-86.639783
6,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,354870180,1,"Public, 4-year or above",16589.0,21074.0,37663.0,21,4,1,11,"The University of Alabama, 1110 Jackson Ave, TUSCALOOSA, AL, 354870180","[33.2140233, -87.5391418]",33.2140233,-87.5391418
12,Auburn University at Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596,1,"Public, 4-year or above",1711.0,3167.0,4878.0,2,0,2,4,"Auburn University at Montgomery, 7400 EAST DRIVE, MONTGOMERY, AL, 361173596","[32.3697457, -86.1766584]",32.3697457,-86.1766584
13,Auburn University,Auburn University,23 Samford Hall,Auburn,AL,36849,1,"Public, 4-year or above",14309.0,13981.0,28290.0,11,3,3,18,"Auburn University, 23 Samford Hall, Auburn, AL, 36849","[32.6047401, -85.48279269999999]",32.6047401,-85.4827927
