,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng
1,University of Alabama at Birmingham,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,352940110,1,"Public, 4-year or above",7590.0,11945.0,19535.0,6,1,3,3,"University of Alabama at Birmingham, ADMINISTRATION BLDG SUITE 1070, 701 20th Street So, BIRMINGHAM, AL, 352940110",
5,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271,1,"Public, 4-year or above",1952.0,3366.0,5318.0,0,0,3,3,"Alabama State University, 915 SOUTH JACKSON ST, MONTGOMERY, AL, 361040271",
25,Birmingham Southern College,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254,2,"Private nonprofit, 4-year or above",635.0,658.0,1293.0,0,2,0,0,"Birmingham Southern College, 900 Arkadelphia Road, Birmingham, AL, 35254",
27,Concordia College Alabama,Main Campus,1712 Broad Street,SELMA,AL,36701,2,"Private nonprofit, 4-year or above",174.0,166.0,340.0,0,0,0,1,"Concordia College Alabama, 1712 Broad Street, SELMA, AL, 36701",
32,James H Faulkner State Community College,Main Campus - Bay Minette,1900 US HWY 31 South,Bay Minette,AL,365072698,4,"Public, 2-year",1806.0,2975.0,4781.0,0,0,0,1,"James H Faulkner State Community College, 1900 US HWY 31 South, Bay Minette, AL, 365072698",
