,Unnamed: 0,Unnamed: 0.1,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng
34,174,6359,Lander University,LANDER UNIVERSITY,320 Stanley Avenue,Greenwood,SC,296492099,1,"Public, 4-year or above",850.0,1922.0,2772.0,3,0,0,0,"320 Stanley Avenue, Greenwood, SC",
35,175,6368,Medical University of South Carolina,Main Campus,179 ASHLEY AVE MSC 001,CHARLESTON,SC,29425,1,"Public, 4-year or above",1104.0,1882.0,2986.0,2,3,0,1,"179 ASHLEY AVE MSC 001, CHARLESTON, SC",
36,176,6447,South Dakota State University,Main Campus,"Box 2201, ADM 324",Brookings,SD,570071998,1,"Public, 4-year or above",5904.0,6696.0,12600.0,7,4,0,1,"Box 2201, ADM 324, Brookings, SD",
42,187,6922,Saint Edward's University,Main Campus,3001 S CONGRESS AVE,AUSTIN,TX,787046489,2,"Private nonprofit, 4-year or above",1770.0,2831.0,4601.0,5,1,0,0,"3001 S CONGRESS AVE, AUSTIN, TX",
43,188,6976,Tarrant County College District,Southeast Campus,2100 Southeast Parkway,Arlington,TX,760182907,4,"Public, 2-year",21766.0,29584.0,51350.0,0,1,0,0,"2100 Southeast Parkway, Arlington, TX",
44,189,6980,Temple College,Temple College Campus,2600 S 1ST ST,TEMPLE,TX,765047435,4,"Public, 2-year",1724.0,3222.0,4946.0,1,0,0,0,"2600 S 1ST ST, TEMPLE, TX",
47,194,7035,Texas Tech University,Texas Tech University - Lubbock,"150 Administration Building, Box 42005",LUBBOCK,TX,794092005,1,"Public, 4-year or above",19614.0,16937.0,36551.0,5,0,2,2,"150 Administration Building, Box 42005, LUBBOCK, TX",
49,198,7240,Hampden-Sydney College,Main Campus,"College Road, Box 128",Hampden-Sydney,VA,239430128,2,"Private nonprofit, 4-year or above",1025.0,2.0,1027.0,0,0,0,3,"College Road, Box 128, Hampden-Sydney, VA",
51,202,7521,Skagit Valley College,Mount Vernon Campus,2405 East College Way,Mount Vernon,WA,982735899,1,"Public, 4-year or above",2276.0,2810.0,5086.0,0,0,0,1,"2405 East College Way, Mount Vernon, WA",
54,207,7615,Alverno College,Alverno College,3400 S 43RD  ST,Milwaukee,WI,532343922,2,"Private nonprofit, 4-year or above",57.0,1960.0,2017.0,0,0,0,2,"3400 S 43RD  ST, Milwaukee, WI",
57,210,7787,University of Wyoming,University of Wyoming,Dept. 3434 1000 E. University Old Main #206,Laramie,WY,82071,1,"Public, 4-year or above",6049.0,6317.0,12366.0,19,0,0,0,"Dept. 3434 1000 E. University Old Main #206, Laramie, WY",
59,212,7803,Universidad Central de Bayamon,Universidad Central de Bayamon,AVENIDA ZAYA VERDE  REPARTO LA MILAGROSA,BAYAMON,PR,9591725,2,"Private nonprofit, 4-year or above",583.0,1082.0,1665.0,0,0,3,0,"AVENIDA ZAYA VERDE  REPARTO LA MILAGROSA, BAYAMON, PR",
60,213,7813,Colegio Universitario de San Juan,Colegio Universitario de San Juan,180 Jose Oliver St Tres Monjitas Ind. Park,San Juan,PR,918,1,"Public, 4-year or above",644.0,884.0,1528.0,0,0,2,0,"180 Jose Oliver St Tres Monjitas Ind. Park, San Juan, PR",
61,214,7817,Universidad Metropolitana,Bayamon,"CENTRO DE GOBIERNO BAYAMON EDIF B, C, D Y F",BAYAMON,PR,960,2,"Private nonprofit, 4-year or above",4795.0,8841.0,13636.0,0,0,3,0,"CENTRO DE GOBIERNO BAYAMON EDIF B, C, D Y F, BAYAMON, PR",
64,217,7846,Instituto de Banca y Comercio Inc,Barranquitas,"Carretera 719 Km. 1.5 Bo. Helechal, Centro Comercial Plaza",Barranquitas,PR,794,6,"Private for-profit, 2-year",5165.0,6115.0,11280.0,0,0,1,0,"Carretera 719 Km. 1.5 Bo. Helechal, Centro Comercial Plaza, Barranquitas, PR",
65,218,7855,Instituto Tecnologico de Puerto Rico-Recinto de Ponce,Instituto Tecnologico de P.R.-Recinto de Ponce,CANDIDO HOYOS 4820 URB. PERLA DEL SUR,PONCE,PR,717,4,"Public, 2-year",472.0,221.0,693.0,0,0,2,0,"CANDIDO HOYOS 4820 URB. PERLA DEL SUR, PONCE, PR",
66,219,7871,National University College-Arecibo,Arecibo Branch Campus,Manuel Perez Aviles St. Victor Rojas Avenue,ARECIBO,PR,612,3,"Private for-profit, 4-year or above",563.0,847.0,1410.0,0,0,5,1,"Manuel Perez Aviles St. Victor Rojas Avenue, ARECIBO, PR",
69,222,7898,Universidad Del Turabo,Main Campus,CARR. # 189 KM 3.3,GURABO,PR,7783030,2,"Private nonprofit, 4-year or above",6969.0,10198.0,17167.0,0,0,0,1,"CARR. # 189 KM 3.3, GURABO, PR",
73,226,8013,Collin County Community College District,Spring Creek Campus,2800 E. Spring Creek,Plano,TX,75074,4,"Public, 2-year",13314.0,16389.0,29703.0,1,0,0,0,"2800 E. Spring Creek, Plano, TX",
76,229,8715,Rockland County BOCES-Practical Nursing Program,Main Campus,65 Parrot Road,West Nyack,NY,10994,7,"Public, less-than 2-year",11.0,36.0,47.0,0,1,0,0,"65 Parrot Road, West Nyack, NY",
79,232,9091,Ilisagvik College,Ilisagvik College,360 NARL Stevenson St.,BARROW,AK,997230749,4,"Public, 2-year",62.0,126.0,188.0,0,0,1,1,"360 NARL Stevenson St., BARROW, AK",
80,233,9101,Blue Cliff College-Metairie,Main Campus,3200 Cleary Avenue,Metairie,LA,70001,6,"Private for-profit, 2-year",65.0,802.0,867.0,0,0,0,1,"3200 Cleary Avenue, Metairie, LA",
81,234,9169,Everest College-Chesapeake,Altierus Career College Chesapeake,825 Greenbrier Circle #100,Chesapeake,VA,233202639,5,"Private nonprofit, 2-year",78.0,147.0,225.0,0,0,0,1,"825 Greenbrier Circle #100, Chesapeake, VA",
83,236,9410,Brookline College-Albuquerque,Brookline College - Albuquerque Campus,"4201 Central Avenue, NW, Suite J",Albuquerque,NM,87105,3,"Private for-profit, 4-year or above",98.0,277.0,375.0,0,0,0,1,"4201 Central Avenue, NW, Suite J, Albuquerque, NM",
84,237,9872,Escuela De Troqueleria Y Herramentaje,Main campus,150 Rd 174 Urb Industrial Minillas,Bayamon,PR,959,4,"Public, 2-year",86.0,2.0,88.0,0,0,1,0,"150 Rd 174 Urb Industrial Minillas, Bayamon, PR",
85,238,10007,Pontifical John Paul II Institute for Studies on Marriage and Family,Main Campus,620 Michigan Ave NE McGivney Hall,Washington,DC,200640001,2,"Private nonprofit, 4-year or above",29.0,33.0,62.0,4,4,0,0,"620 Michigan Ave NE McGivney Hall, Washington, DC",
86,239,10172,National University College-Ponce,Ponce Branch Campus,PO Box 801243 Coto Laurel,Ponce,PR,7801243,3,"Private for-profit, 4-year or above",454.0,992.0,1446.0,0,0,2,1,"PO Box 801243 Coto Laurel, Ponce, PR",
87,240,10434,Salter College-Chicopee,Main Campus,645 Shawinigan Drive,Chicopee,MA,10203744,6,"Private for-profit, 2-year",13.0,118.0,131.0,0,0,0,1,"645 Shawinigan Drive, Chicopee, MA",
88,241,10582,Wade Gordon Hairdressing Academy,Main Campus,7701 Interstate 40 West,Amarillo,TX,791210548,9,"Private for-profit, less-than 2-year",5.0,85.0,90.0,0,0,3,0,"7701 Interstate 40 West, Amarillo, TX",
89,242,10727,Augusta University,AU Summerville Campus - Augusta,2500 WALTON WAY,AUGUSTA,GA,309042200,1,"Public, 4-year or above",2907.0,5031.0,7938.0,1,0,1,0,"2500 WALTON WAY, AUGUSTA, GA",
90,243,10730,Middle Georgia State University,Cochran,1100 Second Street,Cochran,GA,310141599,1,"Public, 4-year or above",3234.0,4480.0,7714.0,1,1,0,0,"1100 Second Street, Cochran, GA",
91,244,11119,The Chicago School of Professional Psychology at Xavier University of Louisiana,XULA Campus,1 Drexel Drive,New Orleans,LA,701251056,2,"Private nonprofit, 4-year or above",5.0,21.0,26.0,0,1,2,0,"1 Drexel Drive, New Orleans, LA",
93,246,11237,Clovis Community College,Clovis Community College,10309 N. Willow,Fresno,CA,93730,4,"Public, 2-year",2928.0,3756.0,6684.0,1,0,0,0,"10309 N. Willow, Fresno, CA",
