,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long
7779,Northwest College,Northwest College,231 W 6TH ST,POWELL,WY,82435,4,"Public, 2-year",680.0,976.0,1656.0,1,0,0,0,"231 W 6TH ST, POWELL, WY, 82435","[44.75926949999999, -108.7610589]",44.7592695,-108.7610589
7780,Sheridan College,Sheridan College,3059 S COFFEEN AVE,SHERIDAN,WY,82801,4,"Public, 2-year",2121.0,1867.0,3988.0,3,0,0,0,"3059 S COFFEEN AVE, SHERIDAN, WY, 82801","[44.7642145, -106.9448656]",44.7642145,-106.9448656
7781,Sheridan College,Gillette College,300 W Sinclair St,Gillette,WY,82718,4,"Public, 2-year",2121.0,1867.0,3988.0,3,0,0,0,"300 W Sinclair St, Gillette, WY, 82718","[44.26172709999999, -105.5071348]",44.2617271,-105.5071348
7782,Western Wyoming Community College,Main Campus,2500 COLLEGE DR,ROCK SPRINGS,WY,829020428,4,"Public, 2-year",1623.0,1839.0,3462.0,1,2,0,0,"2500 COLLEGE DR, ROCK SPRINGS, WY, 829020428","[41.5864759, -109.2330859]",41.5864759,-109.2330859
7786,Wyotech-Laramie,Wyotech-Laramie,1889 Venture Drive,Laramie,WY,82070,5,"Private nonprofit, 2-year",488.0,30.0,518.0,0,0,0,1,"1889 Venture Drive, Laramie, WY, 82070","[41.3036944, -105.6209096]",41.3036944,-105.6209096
7789,Guam Community College,Guam Community College,One Sesame Street,Mangilao,GU,96913,4,"Public, 2-year",929.0,1213.0,2142.0,0,0,1,3,"One Sesame Street, Mangilao, GU, 96913","[13.4399527, 144.8072589]",13.4399527,144.8072589
7790,University of Guam,UOG Main Campus,"303 University Drive, UOG Station",Mangilao,GU,96923,1,"Public, 4-year or above",1631.0,2244.0,3875.0,1,0,0,0,"303 University Drive, UOG Station, Mangilao, GU, 96923","[13.4322112, 144.8033219]",13.4322112,144.8033219
7800,Antilles School of Technical Careers,Antilles School of Technical Careers,Cayey Street 1911 William Jones Corner,SANTURCE,PR,00909,9,"Private for-profit, less-than 2-year",142.0,402.0,544.0,0,0,2,0,"Cayey Street 1911 William Jones Corner, SANTURCE, PR, 00909","[18.4380348, -66.0590678]",18.4380348,-66.0590678
7801,Universidad Adventista de las Antillas,UNIVERSIDAD ADVENTISTA DE LAS ANTILLAS,CARR 106 KM 2.2 INT,MAYAGUEZ,PR,006800118,2,"Private nonprofit, 4-year or above",490.0,861.0,1351.0,0,0,6,0,"CARR 106 KM 2.2 INT, MAYAGUEZ, PR, 006800118","[18.2016347, -67.1398351]",18.2016347,-67.1398351
7838,Instituto de Banca y Comercio Inc,Main Campus,"Ave. Ponce de Leon 61, 70 & 72",Hato Rey,PR,009171102,6,"Private for-profit, 2-year",5165.0,6115.0,11280.0,0,0,0,1,"Ave. Ponce de Leon 61, 70 & 72, Hato Rey, PR, 009171102","[18.4359343, -66.1160712]",18.4359343,-66.1160712
7840,Instituto de Banca y Comercio Inc,Mayaguez,"#75 Avenida Tenerife, Carretera #2, Bo. Sultana",Mayaguez,PR,006801429,6,"Private for-profit, 2-year",5165.0,6115.0,11280.0,0,0,2,0,"#75 Avenida Tenerife, Carretera #2, Bo. Sultana, Mayaguez, PR, 006801429","[18.1685276, -67.1470892]",18.1685276,-67.1470892
7847,Instituto de Banca y Comercio Inc,Humacao,"Carretera PR-908, Km. 1.0, Barrio Tejas",Humacao,PR,00791,6,"Private for-profit, 2-year",5165.0,6115.0,11280.0,0,0,1,0,"Carretera PR-908, Km. 1.0, Barrio Tejas, Humacao, PR, 00791","[18.1444529, -65.8280272]",18.1444529,-65.8280272
7848,Instituto de Banca y Comercio Inc,Aguadilla,Carretera #2 Km 121.1 Bo. Caimital Alto,Aguadilla,PR,00603,6,"Private for-profit, 2-year",5165.0,6115.0,11280.0,0,0,1,0,"Carretera #2 Km 121.1 Bo. Caimital Alto, Aguadilla, PR, 00603","[18.4459531, -67.1131077]",18.4459531,-67.1131077
7857,Inter American University of Puerto Rico-San German,SAN GERMAN CAMPUS,INTERAMERICAN UNIVERSITY AVENUE,SAN GERMAN,PR,006839801,2,"Private nonprofit, 4-year or above",2144.0,2578.0,4722.0,0,0,0,1,"INTERAMERICAN UNIVERSITY AVENUE, SAN GERMAN, PR, 006839801","[18.083388, -67.05053749999999]",18.083388,-67.0505375
7878,University of Puerto Rico-Cayey,UPR-Cayey,205 Antonio R. Barcelo Ave.,Cayey,PR,00736,1,"Public, 4-year or above",1322.0,2444.0,3766.0,0,0,1,0,"205 Antonio R. Barcelo Ave., Cayey, PR, 00736","[18.1176554, -66.1616042]",18.1176554,-66.1616042
