,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE15,FONDL15,ROBBE15,AGG_A15,geo_address,lat_lng,lat,long
1319,Florida SouthWestern State College,Main Campus,8099 College Parkway,Fort Myers,FL,33919,1,"Public, 4-year or above",6097.0,9612.0,15709.0,2,2,0,0,"8099 College Parkway Fort Myers, FL","[26.5512125, -81.8873911]",26.5512125,-81.8873911
1320,Florida SouthWestern State College,Charlotte County Campus,26300 AIRPORT RD,PUNTA GORDA,FL,33950,1,"Public, 4-year or above",6097.0,9612.0,15709.0,0,0,0,1,"26300 AIRPORT RD PUNTA GORDA, FL","[26.9177641, -82.0164988]",26.9177641,-82.0164988
1323,Edward Waters College,Main Campus,1658 KINGS RD,JACKSONVILLE,FL,322096169,2,"Private nonprofit, 4-year or above",1097.0,1157.0,2254.0,0,0,5,5,"1658 KINGS RD JACKSONVILLE, FL","[30.3436839, -81.68369899999999]",30.3436839,-81.683699
1324,Embry-Riddle Aeronautical University-Daytona Beach,"Daytona Beach, FL Campus",600 S CLYDE MORRIS BLVD,DAYTONA BEACH,FL,321143900,2,"Private nonprofit, 4-year or above",4665.0,1141.0,5806.0,1,0,0,0,"600 S CLYDE MORRIS BLVD DAYTONA BEACH, FL","[29.1879316, -81.0502367]",29.1879316,-81.0502367
1325,Florida Agricultural and Mechanical University,Main Campus,Lee Hall    1601 S. Martin Luther King Jr. Blvd,Tallahassee,FL,32307,1,"Public, 4-year or above",3631.0,6297.0,9928.0,4,2,3,1,"Lee Hall    1601 S. Martin Luther King Jr. Blvd Tallahassee, FL","[30.42685509999999, -84.2851136]",30.4268551,-84.2851136
1333,Florida State College at Jacksonville,Downtown,101 W STATE ST,JACKSONVILLE,FL,32202,1,"Public, 4-year or above",10460.0,15704.0,26164.0,0,0,0,2,"101 W STATE ST JACKSONVILLE, FL","[30.3343051, -81.6598229]",30.3343051,-81.6598229
1334,Florida State College at Jacksonville,Kent,3939 ROOSEVELT BLVD,JACKSONVILLE,FL,32205,1,"Public, 4-year or above",10460.0,15704.0,26164.0,0,0,0,2,"3939 ROOSEVELT BLVD JACKSONVILLE, FL","[30.3004824, -81.7190443]",30.3004824,-81.7190443
1336,Florida State College at Jacksonville,South,11901 BEACH BLVD,JACKSONVILLE,FL,32246,1,"Public, 4-year or above",10460.0,15704.0,26164.0,0,0,1,0,"11901 BEACH BLVD JACKSONVILLE, FL","[30.2872473, -81.50449859999999]",30.2872473,-81.5044986
1348,Florida Institute of Technology,Main Campus,150 W UNIVERSITY BLVD,MELBOURNE,FL,329016975,2,"Private nonprofit, 4-year or above",4406.0,2225.0,6631.0,4,0,0,4,"150 W UNIVERSITY BLVD MELBOURNE, FL","[28.0640125, -80.6242041]",28.0640125,-80.6242041
1350,Florida International University,Modesto A. Maidique Campus,11200 S.W. 8 Street,MIAMI,FL,331990001,1,"Public, 4-year or above",21858.0,27924.0,49782.0,7,4,6,5,"11200 S.W. 8 Street MIAMI, FL","[25.7580337, -80.3751759]",25.7580337,-80.3751759
1364,Florida State University,Main Campus,211 WESTCOTT BLDG,TALLAHASSEE,FL,323061037,1,"Public, 4-year or above",18370.0,22460.0,40830.0,24,0,3,6,"211 WESTCOTT BLDG TALLAHASSEE, FL","[30.4407399, -84.2918905]",30.4407399,-84.2918905
1368,Florida Technical College,"Florida Technical College, Kissimmee","3831 West Vine St., Suite 50",Kissimmee,FL,34741,3,"Private for-profit, 4-year or above",1330.0,3245.0,4575.0,0,1,0,0,"3831 West Vine St., Suite 50 Kissimmee, FL","[28.3069805, -81.4428832]",28.3069805,-81.4428832
1373,University of Florida,University of Florida,University of Florida,Gainesville,FL,32611,1,"Public, 4-year or above",23195.0,27450.0,50645.0,16,0,4,6,"University of Florida Gainesville, FL","[29.6436325, -82.3549302]",29.6436325,-82.3549302
1383,Gulf Coast State College,North Bay Campus,637 Highway 2300,South Port,FL,32409,1,"Public, 4-year or above",2162.0,3291.0,5453.0,0,0,0,1,"637 Highway 2300 South Port, FL","[30.299028, -85.662235]",30.299028,-85.662235
1386,Hillsborough Community College,Dale Mabry Campus,4001 Tampa Bay Blvd.,TAMPA,FL,33614,4,"Public, 2-year",11409.0,15162.0,26571.0,0,1,0,0,"4001 Tampa Bay Blvd. TAMPA, FL","[27.9753526, -82.509197]",27.9753526,-82.509197
1387,Hillsborough Community College,Ybor City Campus,2001 14th Street,Tampa,FL,336755096,4,"Public, 2-year",11409.0,15162.0,26571.0,0,0,4,0,"2001 14th Street Tampa, FL","[27.9626855, -82.4447125]",27.9626855,-82.4447125
1397,Indian River State College,Main Campus,3209 VIRGINIA AVE,FORT PIERCE,FL,349815596,1,"Public, 4-year or above",7224.0,10980.0,18204.0,0,0,0,1,"3209 VIRGINIA AVE FORT PIERCE, FL","[27.4219692, -80.357846]",27.4219692,-80.357846
1408,Jacksonville University,JACKSONVILLE UNIVERSITY,2800 UNIVERSITY BLVD N,JACKSONVILLE,FL,322113394,2,"Private nonprofit, 4-year or above",1381.0,2667.0,4048.0,2,1,0,0,"2800 UNIVERSITY BLVD N JACKSONVILLE, FL","[30.3507909, -81.606326]",30.3507909,-81.606326
1431,Lake Technical College,Lake Technical College  (Main Campus),2001 KURT ST,EUSTIS,FL,32726,7,"Public, less-than 2-year",303.0,295.0,598.0,0,1,0,0,"2001 KURT ST EUSTIS, FL","[28.833443, -81.6909072]",28.833443,-81.6909072
1436,Lively Technical Center,Lively Technical Center,500 N APPLEYARD DR,TALLAHASSEE,FL,323042895,7,"Public, less-than 2-year",437.0,257.0,694.0,0,0,1,0,"500 N APPLEYARD DR TALLAHASSEE, FL","[30.4486373, -84.339236]",30.4486373,-84.339236
1440,State College of Florida-Manatee-Sarasota,Bradenton Campus,5840 26TH ST W,BRADENTON,FL,34207,1,"Public, 4-year or above",4095.0,6437.0,10532.0,1,0,0,0,"5840 26TH ST W BRADENTON, FL","[27.4369786, -82.5877361]",27.4369786,-82.5877361
1450,Miami Dade College,North Campus,11380 NW 27 Avenue,Miami,FL,331673495,1,"Public, 4-year or above",26250.0,36082.0,62332.0,0,1,0,0,"11380 NW 27 Avenue Miami, FL","[25.8777515, -80.2430559]",25.8777515,-80.2430559
1451,Miami Dade College,Kendall Campus,11011 SW 104 St,Miami,FL,331763393,1,"Public, 4-year or above",26250.0,36082.0,62332.0,0,0,1,0,"11011 SW 104 St Miami, FL","[25.673736, -80.3740533]",25.673736,-80.3740533
1453,Miami Dade College,Homestead Campus,500 College Terrace,Homestead,FL,330306009,1,"Public, 4-year or above",26250.0,36082.0,62332.0,1,0,1,0,"500 College Terrace Homestead, FL","[25.4744321, -80.47431870000001]",25.4744321,-80.4743187
1457,University of Miami,Coral Gables Campus,"5665 Ponce De Leon Boulevard, Office # 116",Coral Gables,FL,33146,2,"Private nonprofit, 4-year or above",8264.0,8561.0,16825.0,3,6,1,3,"5665 Ponce De Leon Boulevard, Office # 116 Coral Gables, FL","[25.7126899, -80.2811365]",25.7126899,-80.2811365
1458,University of Miami,Medical Campus,"1051 N.W. 14 Street, Suite 145",Miami,FL,33136,2,"Private nonprofit, 4-year or above",8264.0,8561.0,16825.0,0,0,2,4,"1051 N.W. 14 Street, Suite 145 Miami, FL","[25.7881419, -80.2121547]",25.7881419,-80.2121547
1467,University of North Florida,Main Campus,1 UNF Dr.,Jacksonville,FL,322242648,1,"Public, 4-year or above",6877.0,8798.0,15675.0,2,0,0,2,"1 UNF Dr. Jacksonville, FL","[30.2706682, -81.5104313]",30.2706682,-81.5104313
1468,Nova Southeastern University,Nova Southeastern University - Main Campus,3301 College Ave.,Ft. Lauderdale-Davie,FL,333147796,2,"Private nonprofit, 4-year or above",7094.0,16142.0,23236.0,3,2,1,0,"3301 College Ave. Ft. Lauderdale-Davie, FL","[26.0788141, -80.24012800000001]",26.0788141,-80.240128
1490,Pasco-Hernando State College,West Campus,10230 Ridge Road,New Port Richey,FL,346545199,1,"Public, 4-year or above",4401.0,6986.0,11387.0,0,2,0,2,"10230 Ridge Road New Port Richey, FL","[28.2759608, -82.64740719999999]",28.2759608,-82.6474072
1492,Pasco-Hernando State College,North Campus,11515 Ponce De Leon Blvd.,Brooksville,FL,346016726,1,"Public, 4-year or above",4401.0,6986.0,11387.0,0,1,0,0,"11515 Ponce De Leon Blvd. Brooksville, FL","[28.6016351, -82.4007969]",28.6016351,-82.4007969
1493,Pasco-Hernando State College,Spring Hill Campus,450 Beverly Court,Spring Hill,FL,34608,1,"Public, 4-year or above",4401.0,6986.0,11387.0,0,1,0,0,"450 Beverly Court Spring Hill, FL","[28.4429446, -82.6312512]",28.4429446,-82.6312512
1495,Pensacola State College,Pensacola State College,1000 College Boulevard,Pensacola,FL,32504,1,"Public, 4-year or above",3933.0,5907.0,9840.0,1,1,0,1,"1000 College Boulevard Pensacola, FL","[30.4808027, -87.20191849999999]",30.4808027,-87.2019185
1511,Ringling College of Art and Design,Main Campus,2700 N TAMIAMI TR,SARASOTA,FL,342345896,2,"Private nonprofit, 4-year or above",468.0,794.0,1262.0,0,1,0,0,"2700 N TAMIAMI TR SARASOTA, FL","[27.360496, -82.54875419999999]",27.360496,-82.5487542
1514,Rollins College,Main Campus,1000 HOLT AVE,WINTER PARK,FL,327894499,2,"Private nonprofit, 4-year or above",1354.0,1906.0,3260.0,6,3,0,1,"1000 HOLT AVE WINTER PARK, FL","[28.5926397, -81.3483372]",28.5926397,-81.3483372
1518,Saint Leo University,Saint Leo University,33701 State Road 52,SAINT LEO,FL,335746665,2,"Private nonprofit, 4-year or above",6365.0,9435.0,15800.0,3,0,0,0,"33701 State Road 52 SAINT LEO, FL","[28.3382635, -82.25784970000001]",28.3382635,-82.2578497
1531,St Petersburg College,Clearwater Campus,2465 Drew St,Clearwater,FL,34337,1,"Public, 4-year or above",12580.0,19187.0,31767.0,0,2,0,0,"2465 Drew St Clearwater, FL","[27.9666514, -82.734658]",27.9666514,-82.734658
1534,St Petersburg College,St. Petetersburg College-Gibbs Campus,6605 5th Ave. N.,Saint Petersburg,FL,33710,1,"Public, 4-year or above",12580.0,19187.0,31767.0,0,0,0,1,"6605 5th Ave. N. Saint Petersburg, FL","[27.7776547, -82.7294466]",27.7776547,-82.7294466
1538,Santa Fe College,Northwest Campus,3000 NW 83RD ST,GAINESVILLE,FL,32606,1,"Public, 4-year or above",6679.0,8088.0,14767.0,0,1,0,0,"3000 NW 83RD ST GAINESVILLE, FL","[29.6771331, -82.4304063]",29.6771331,-82.4304063
1552,Sheridan Technical College,SHERIDAN TECHNICAL COLLEGE,5400 SHERIDAN ST,HOLLYWOOD,FL,33021,4,"Public, 2-year",722.0,831.0,1553.0,0,0,1,0,"5400 SHERIDAN ST HOLLYWOOD, FL","[26.0319003, -80.1981425]",26.0319003,-80.1981425
1566,Stetson University,Main Campus,421 N WOODLAND BLVD,DELAND,FL,32723,2,"Private nonprofit, 4-year or above",1892.0,2438.0,4330.0,2,1,0,1,"421 N WOODLAND BLVD DELAND, FL","[29.0366133, -81.3032905]",29.0366133,-81.3032905
1570,Southeastern University,Main Campus,1000 LONGFELLOW BLVD,LAKELAND,FL,338016034,2,"Private nonprofit, 4-year or above",1975.0,2563.0,4538.0,2,1,0,1,"1000 LONGFELLOW BLVD LAKELAND, FL","[28.0314996, -81.9180616]",28.0314996,-81.9180616
1573,Tallahassee Community College,Main Campus,444 APPLEYARD DR,TALLAHASSEE,FL,323042895,4,"Public, 2-year",5864.0,6581.0,12445.0,0,0,1,2,"444 APPLEYARD DR TALLAHASSEE, FL","[30.44427009999999, -84.34044229999999]",30.4442701,-84.3404423
1582,The University of Tampa,Main Campus,401 West Kennedy Blvd.,Tampa,FL,336061490,2,"Private nonprofit, 4-year or above",3414.0,4545.0,7959.0,3,2,2,0,"401 West Kennedy Blvd. Tampa, FL","[27.9479478, -82.464656]",27.9479478,-82.464656
1585,Trinity Baptist College,Main Campus,800 HAMMOND BLVD,JACKSONVILLE,FL,32221,2,"Private nonprofit, 4-year or above",252.0,189.0,441.0,0,1,0,1,"800 HAMMOND BLVD JACKSONVILLE, FL","[30.3100098, -81.79624489999999]",30.3100098,-81.7962449
1603,The University of West Florida,Main Campus,11000 UNIVERSITY PKWY,Pensacola,FL,325145750,1,"Public, 4-year or above",5273.0,7490.0,12763.0,4,2,0,2,"11000 UNIVERSITY PKWY Pensacola, FL","[30.5430757, -87.21818480000002]",30.5430757,-87.2181848
1610,Abraham Baldwin Agricultural College,Main Campus,2802 MOORE HWY,TIFTON,GA,317942601,1,"Public, 4-year or above",1625.0,1768.0,3393.0,0,1,0,0,"2802 MOORE HWY TIFTON, GA","[31.4819381, -83.5283017]",31.4819381,-83.5283017
1612,Agnes Scott College,Main Campus,141 E COLLEGE AVE,DECATUR,GA,300303797,2,"Private nonprofit, 4-year or above",8.0,894.0,902.0,1,0,0,0,"141 E COLLEGE AVE DECATUR, GA","[33.7682783, -84.29443789999999]",33.7682783,-84.2944379
1616,Darton State College,Darton State College,2400 GILLIONVILLE RD,ALBANY,GA,317073098,1,"Public, 4-year or above",1451.0,4020.0,5471.0,0,0,1,0,"2400 GILLIONVILLE RD ALBANY, GA","[31.581787, -84.21373799999999]",31.581787,-84.213738
1617,Albany State University,Albany State University,504 College Drive,Albany,GA,31705,1,"Public, 4-year or above",1120.0,2372.0,3492.0,5,0,1,1,"504 College Drive Albany, GA","[31.5711008, -84.1444411]",31.5711008,-84.1444411
1620,The Art Institute of Atlanta,The Art Institute of Atlanta,"6600 PEACHTREE DUNWOODY RD, 100 EMBASSY ROW",ATLANTA,GA,303281635,3,"Private for-profit, 4-year or above",1272.0,977.0,2249.0,0,0,0,2,"6600 PEACHTREE DUNWOODY RD, 100 EMBASSY ROW ATLANTA, GA","[33.93600929999999, -84.3553493]",33.9360093,-84.3553493
1628,Clark Atlanta University,Clark Atlanta University,"223 James P. Brawley Drive, SW",Atlanta,GA,303144391,2,"Private nonprofit, 4-year or above",1008.0,2653.0,3661.0,1,0,1,0,"223 James P. Brawley Drive, SW Atlanta, GA","[33.7482561, -84.4130399]",33.7482561,-84.4130399
1636,Berry College,Main Campus,2277 MARTHA BERRY HWY NW,MOUNT BERRY,GA,30149,2,"Private nonprofit, 4-year or above",850.0,1395.0,2245.0,6,0,0,0,"2277 MARTHA BERRY HWY NW MOUNT BERRY, GA","[34.290361, -85.189199]",34.290361,-85.189199
1643,Brewton-Parker College,Main Campus  Mt. Vernon Georgia,201 David-Eliza Fountain Circle,Mount Vernon,GA,30445,2,"Private nonprofit, 4-year or above",340.0,276.0,616.0,0,0,1,0,"201 David-Eliza Fountain Circle Mount Vernon, GA","[32.1857919, -82.5847649]",32.1857919,-82.5847649
1645,College of Coastal Georgia,Main Campus,ONE COLLEGE DRIVE,BRUNSWICK,GA,315203644,1,"Public, 4-year or above",1066.0,2065.0,3131.0,1,0,0,0,"ONE COLLEGE DRIVE BRUNSWICK, GA","[31.1832206, -81.48698019999999]",31.1832206,-81.4869802
1647,West Georgia Technical College,Carroll Campus,997 S. Hwy 16,Carrollton,GA,30116,4,"Public, 2-year",2221.0,4210.0,6431.0,0,1,0,0,"997 S. Hwy 16 Carrollton, GA","[33.5664808, -85.045879]",33.5664808,-85.045879
1657,Clayton  State University,Clayton State University,2000 Clayton State Blvd.,MORROW,GA,302600285,1,"Public, 4-year or above",2222.0,4790.0,7012.0,1,0,0,0,"2000 Clayton State Blvd. MORROW, GA","[33.5944329, -84.33076100000001]",33.5944329,-84.330761
1659,Columbus Technical College,Columbus Technical College,928 Manchester Expressway,Columbus,GA,319046572,4,"Public, 2-year",1366.0,2434.0,3800.0,0,1,0,0,"928 Manchester Expressway Columbus, GA","[32.5081204, -84.97843449999999]",32.5081204,-84.9784345
1660,Columbus State University,Columbus State University,4225 UNIVERSITY AVE,COLUMBUS,GA,319075645,1,"Public, 4-year or above",3400.0,5040.0,8440.0,3,1,0,0,"4225 UNIVERSITY AVE COLUMBUS, GA","[32.5039, -84.9392331]",32.5039,-84.9392331
1661,Columbus State University,RiverPark Campus,901 Front Avenue,Columbus,GA,31901,1,"Public, 4-year or above",3400.0,5040.0,8440.0,3,1,1,0,"901 Front Avenue Columbus, GA","[32.4632742, -84.9953906]",32.4632742,-84.9953906
1668,Dalton State College,Main Campus,650 COLLEGE DRIVE,DALTON,GA,307203797,1,"Public, 4-year or above",2041.0,3003.0,5044.0,1,0,0,0,"650 COLLEGE DRIVE DALTON, GA","[34.77726, -85.0022215]",34.77726,-85.0022215
1676,Emmanuel College,Main Campus,181 SPRING ST,FRANKLIN SPRINGS,GA,30639,2,"Private nonprofit, 4-year or above",475.0,409.0,884.0,1,0,0,0,"181 SPRING ST FRANKLIN SPRINGS, GA","[34.28149750000001, -83.1489383]",34.2814975,-83.1489383
1677,Emory University,Main Campus,201 Dowman Drive,ATLANTA,GA,30322,2,"Private nonprofit, 4-year or above",5851.0,7937.0,13788.0,4,11,0,2,"201 Dowman Drive ATLANTA, GA","[33.7894903, -84.3267716]",33.7894903,-84.3267716
1678,Emory University,Emory University Hospital Midtown Campus,"550 Peachtree Street, N. E.",Atlanta,GA,30308,2,"Private nonprofit, 4-year or above",5851.0,7937.0,13788.0,2,2,0,1,"550 Peachtree Street, N. E. Atlanta, GA","[33.7685573, -84.3864249]",33.7685573,-84.3864249
1689,Fort Valley State University,FORT VALLEY STATE UNIVERSITY,1005 STATE UNIVERSITY DR,FORT VALLEY,GA,310304313,1,"Public, 4-year or above",1063.0,1633.0,2696.0,1,1,0,2,"1005 STATE UNIVERSITY DR FORT VALLEY, GA","[32.5369608, -83.8983238]",32.5369608,-83.8983238
1690,Grady Health System Professional Schools,Main Campus,"80 Jesse Hill Jr Drive, SE",ATLANTA,GA,303033050,4,"Public, 2-year",17.0,43.0,60.0,1,0,12,17,"80 Jesse Hill Jr Drive, SE ATLANTA, GA","[33.7516709, -84.3820793]",33.7516709,-84.3820793
1691,Georgia Institute of Technology-Main Campus,Main Campus,225 NORTH AVE NW,ATLANTA,GA,30332,1,"Public, 4-year or above",17370.0,7664.0,25034.0,8,1,4,2,"225 NORTH AVE NW ATLANTA, GA","[33.7724173, -84.39479159999999]",33.7724173,-84.3947916
1694,Georgia College and State University,Milledgeville Main Campus,231 W HANCOCK ST,MILLEDGEVILLE,GA,31061,1,"Public, 4-year or above",2690.0,4199.0,6889.0,1,0,0,0,"231 W HANCOCK ST MILLEDGEVILLE, GA","[33.0827532, -83.23188259999999]",33.0827532,-83.2318826
1700,Georgia State University,Main Campus,PO Box 3965,ATLANTA,GA,303023965,1,"Public, 4-year or above",13012.0,19046.0,32058.0,3,0,8,7,"PO Box 3965 ATLANTA, GA","[33.7489954, -84.3879824]",33.7489954,-84.3879824
1702,University of Georgia,Main Campus,The University of Georgia,ATHENS,GA,30602,1,"Public, 4-year or above",15338.0,20792.0,36130.0,14,5,5,4,"The University of Georgia ATHENS, GA","[33.9480053, -83.3773221]",33.9480053,-83.3773221
1703,Gordon State College,Main Campus,419 COLLEGE DR,BARNESVILLE,GA,302041762,1,"Public, 4-year or above",1324.0,2760.0,4084.0,0,0,2,0,"419 COLLEGE DR BARNESVILLE, GA","[33.0477241, -84.1536461]",33.0477241,-84.1536461
1712,Gwinnett Technical College,Main Campus,5150 SUGARLOAF PKY,LAWRENCEVILLE,GA,300431505,4,"Public, 2-year",2840.0,4119.0,6959.0,0,0,1,0,"5150 SUGARLOAF PKY LAWRENCEVILLE, GA","[33.9625443, -84.07033369999999]",33.9625443,-84.0703337
1714,LaGrange College,LaGrange College,601 Broad Street,LaGrange,GA,302402999,2,"Private nonprofit, 4-year or above",488.0,540.0,1028.0,0,1,0,1,"601 Broad Street LaGrange, GA","[33.037953, -85.04593799999999]",33.037953,-85.045938
1726,Life University,Life University,1269 Barclay Circle,Marietta,GA,30060,2,"Private nonprofit, 4-year or above",1373.0,1337.0,2710.0,1,1,0,0,"1269 Barclay Circle Marietta, GA","[33.9328039, -84.5147607]",33.9328039,-84.5147607
1727,Chattahoochee Technical College,Main Campus,980 S COBB DR,MARIETTA,GA,300603398,4,"Public, 2-year",4421.0,5396.0,9817.0,1,0,0,0,"980 S COBB DR MARIETTA, GA","[33.929232, -84.55335319999999]",33.929232,-84.5533532
1735,Herzing University-Atlanta,Main Campus,"3393 PEACHTREE ROAD, NE",ATLANTA,GA,30326,3,"Private for-profit, 4-year or above",256.0,312.0,568.0,0,0,5,2,"3393 PEACHTREE ROAD, NE ATLANTA, GA","[33.8475546, -84.3619696]",33.8475546,-84.3619696
1736,Mercer University,Macon Campus,1501 Mercer University Drive,Macon,GA,31207,2,"Private nonprofit, 4-year or above",3229.0,5371.0,8600.0,7,5,1,1,"1501 Mercer University Drive Macon, GA","[32.8260317, -83.6542377]",32.8260317,-83.6542377
1739,Morehouse College,Morehouse College,830 WESTVIEW DR SW,ATLANTA,GA,30314,2,"Private nonprofit, 4-year or above",2167.0,0.0,2167.0,2,2,1,1,"830 WESTVIEW DR SW ATLANTA, GA","[33.7459406, -84.41383379999999]",33.7459406,-84.4138338
1744,Oglethorpe University,Oglethorpe University,4484 PEACHTREE RD NE,ATLANTA,GA,303192797,2,"Private nonprofit, 4-year or above",477.0,678.0,1155.0,2,1,0,0,"4484 PEACHTREE RD NE ATLANTA, GA","[33.8759378, -84.3347556]",33.8759378,-84.3347556
1745,Paine College,Paine College,1235 15TH ST,AUGUSTA,GA,309013182,2,"Private nonprofit, 4-year or above",231.0,324.0,555.0,0,0,1,2,"1235 15TH ST AUGUSTA, GA","[33.468188, -81.9935713]",33.468188,-81.9935713
1749,Reinhardt University,Main Campus,7300 REINHARDT CIR,WALESKA,GA,301832981,2,"Private nonprofit, 4-year or above",702.0,662.0,1364.0,2,1,0,0,"7300 REINHARDT CIR WALESKA, GA","[34.3133175, -84.5407649]",34.3133175,-84.5407649
1754,Savannah College of Art and Design,Main Campus - Savannah,342 BULL ST,SAVANNAH,GA,314023146,2,"Private nonprofit, 4-year or above",4138.0,7723.0,11861.0,1,4,1,0,"342 BULL ST SAVANNAH, GA","[32.072944, -81.093773]",32.072944,-81.093773
1757,Savannah College of Art and Design,Savannah College of Art and Design - Hong Kong,"No. 292 Tai Po Road, Sham Shui Po",Kowloon,,999077,2,"Private nonprofit, 4-year or above",4138.0,7723.0,11861.0,1,0,0,0,"No. 292 Tai Po Road, Sham Shui Po Kowloon, ","[22.3355365, 114.1627958]",22.3355365,114.1627958
1758,Savannah State University,Savannah State University,3219 COLLEGE STREET,SAVANNAH,GA,31404,1,"Public, 4-year or above",1988.0,2812.0,4800.0,0,6,6,6,"3219 COLLEGE STREET SAVANNAH, GA","[32.0229767, -81.05557560000001]",32.0229767,-81.0555756
1759,Shorter University,Main Shorter Campus,315 SHORTER AVE,ROME,GA,30165,2,"Private nonprofit, 4-year or above",631.0,841.0,1472.0,1,0,0,0,"315 SHORTER AVE ROME, GA","[34.2634221, -85.1917332]",34.2634221,-85.1917332
1771,Valdosta State University,Main Campus,1500 N PATTERSON,VALDOSTA,GA,31698,1,"Public, 4-year or above",4291.0,7011.0,11302.0,3,2,4,0,"1500 N PATTERSON VALDOSTA, GA","[30.8465653, -83.29002340000001]",30.8465653,-83.2900234
1773,University of West Georgia,Main Campus,1601 MAPLE ST,CARROLLTON,GA,301180001,1,"Public, 4-year or above",4509.0,8325.0,12834.0,1,2,1,1,"1601 MAPLE ST CARROLLTON, GA","[33.5735847, -85.09771599999999]",33.5735847,-85.097716
1775,Young Harris College,Young Harris College,1 College Street,YOUNG HARRIS,GA,30582,2,"Private nonprofit, 4-year or above",517.0,687.0,1204.0,1,0,0,0,"1 College Street YOUNG HARRIS, GA","[34.932492, -83.84682]",34.932492,-83.84682
1778,University of Hawaii at Manoa,University of Hawaii at Manoa,2444 Dole St.,Honolulu,HI,96822,1,"Public, 4-year or above",8268.0,10597.0,18865.0,3,3,1,0,"2444 Dole St. Honolulu, HI","[21.297205, -157.819838]",21.297205,-157.819838
1779,University of Hawaii at Manoa,Kaka'ako Campus Units,651 Ilalo Street,Honolulu,HI,96813,1,"Public, 4-year or above",8268.0,10597.0,18865.0,0,1,0,0,"651 Ilalo Street Honolulu, HI","[21.2964368, -157.8637169]",21.2964368,-157.8637169
1781,Hawaii Pacific University,Main Campus,1164 Bishop Street,Honolulu,HI,96813,2,"Private nonprofit, 4-year or above",2025.0,2756.0,4781.0,1,0,1,0,"1164 Bishop Street Honolulu, HI","[21.3103125, -157.8596812]",21.3103125,-157.8596812
1784,Honolulu Community College,Honolulu CC Main Campus,874 DILLINGHAM BLVD,HONOLULU,HI,96817,4,"Public, 2-year",2530.0,1798.0,4328.0,0,1,0,1,"874 DILLINGHAM BLVD HONOLULU, HI","[21.3204595, -157.869274]",21.3204595,-157.869274
1791,University of Hawaii Maui College,Kahului Main Campus,310 W. KA'AHUMANU AVE,KAHULUI,HI,967321617,1,"Public, 4-year or above",1326.0,2267.0,3593.0,0,0,0,1,"310 W. KA'AHUMANU AVE KAHULUI, HI","[20.8901594, -156.4806044]",20.8901594,-156.4806044
1803,Boise State University,Main Campus,1910 UNIVERSITY DR,BOISE,ID,837251291,1,"Public, 4-year or above",9993.0,12093.0,22086.0,10,2,0,10,"1910 UNIVERSITY DR BOISE, ID","[43.6050793, -116.206954]",43.6050793,-116.206954
1807,Boise State University,Boise State University - Lewis-Clark State College at NIC Extension,1031 North Academic Way,Coeur d'Alene,ID,83814,1,"Public, 4-year or above",9993.0,12093.0,22086.0,0,0,0,1,"1031 North Academic Way Coeur d'Alene, ID","[47.6833248, -116.7968845]",47.6833248,-116.7968845
1812,Idaho State University,ISU -- Pocatello,"921 S. 8th Ave., Stop 8310",POCATELLO,ID,832098140,1,"Public, 4-year or above",6208.0,6870.0,13078.0,1,3,0,0,"921 S. 8th Ave., Stop 8310 POCATELLO, ID","[42.8627231, -112.4297156]",42.8627231,-112.4297156
1815,University of Idaho,Main Campus,875 Perimeter Dr MS 2285,MOSCOW,ID,838442285,1,"Public, 4-year or above",5995.0,5377.0,11372.0,1,4,0,2,"875 Perimeter Dr MS 2285 MOSCOW, ID","[46.7288124, -117.0126084]",46.7288124,-117.0126084
1819,The College of Idaho,The College of Idaho,2112 CLEVELAND BLVD,Caldwell,ID,836054432,2,"Private nonprofit, 4-year or above",518.0,547.0,1065.0,1,3,0,0,"2112 CLEVELAND BLVD Caldwell, ID","[43.653597, -116.676876]",43.653597,-116.676876
1820,Lewis-Clark State College,Main Campus,500 8th Avenue,Lewiston,ID,835012698,1,"Public, 4-year or above",1347.0,2286.0,3633.0,2,0,0,0,"500 8th Avenue Lewiston, ID","[46.4121153, -117.0263232]",46.4121153,-117.0263232
1829,Northwest Nazarene University,Main Campus,623 S. University Boulevard,Nampa,ID,836865897,2,"Private nonprofit, 4-year or above",904.0,1303.0,2207.0,0,1,0,0,"623 S. University Boulevard Nampa, ID","[43.5631296, -116.5644654]",43.5631296,-116.5644654
1831,Brigham Young University-Idaho,BYU-Idaho,525 S CENTER,Rexburg,ID,834601650,2,"Private nonprofit, 4-year or above",18885.0,24918.0,43803.0,2,4,0,2,"525 S CENTER Rexburg, ID","[43.8208449, -111.7823667]",43.8208449,-111.7823667
1841,School of the Art Institute of Chicago,Main Campus,37 S. Wabash Avenue,CHICAGO,IL,606033002,2,"Private nonprofit, 4-year or above",1017.0,2574.0,3591.0,2,3,0,1,"37 S. Wabash Avenue CHICAGO, IL","[41.8809923, -87.6256487]",41.8809923,-87.6256487
1842,Augustana College,Main Campus,639 38TH ST,ROCK ISLAND,IL,612012296,2,"Private nonprofit, 4-year or above",1047.0,1431.0,2478.0,6,0,0,1,"639 38TH ST ROCK ISLAND, IL","[41.5051776, -90.5471872]",41.5051776,-90.5471872
