,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE15,FONDL15,ROBBE15,AGG_A15,geo_address,lat_lng,lat,long
461,California State University-Stanislaus,CSU Stanislaus - Turlock,One University Circle,TURLOCK,CA,95382,1,"Public, 4-year or above",3244.0,6038.0,9282.0,4,0,0,1,"One University Circle TURLOCK, CA","[37.5250729, -120.8553947]",37.5250729,-120.8553947
463,California State University-San Bernardino,"California State University, San Bernardino",5500 University Pkwy.,San Bernardino,CA,924072397,1,"Public, 4-year or above",7851.0,12173.0,20024.0,2,6,5,1,"5500 University Pkwy. San Bernardino, CA","[34.1781479, -117.3224143]",34.1781479,-117.3224143
465,California State Polytechnic University-Pomona,Main Campus,3801 W TEMPLE AVE,POMONA,CA,91768,1,"Public, 4-year or above",13124.0,10593.0,23717.0,4,6,1,0,"3801 W TEMPLE AVE POMONA, CA","[34.0500109, -117.815212]",34.0500109,-117.815212
466,California State University-Chico,Main Campus,400 W. 1st  St,Chico,CA,959290150,1,"Public, 4-year or above",8042.0,9178.0,17220.0,3,1,1,2,"400 W. 1st  St Chico, CA","[39.7281103, -121.8462229]",39.7281103,-121.8462229
467,California State University-Dominguez Hills,California State University Dominguez Hills,1000 E VICTORIA ST,CARSON,CA,907470005,1,"Public, 4-year or above",5173.0,9462.0,14635.0,0,2,0,5,"1000 E VICTORIA ST CARSON, CA","[33.8653106, -118.2590121]",33.8653106,-118.2590121
469,California State University-Fullerton,Main Campus,800 N STATE COLLEGE BLVD,FULLERTON,CA,928319480,1,"Public, 4-year or above",17338.0,21610.0,38948.0,2,1,1,3,"800 N STATE COLLEGE BLVD FULLERTON, CA","[33.8823994, -117.8851143]",33.8823994,-117.8851143
474,California State University-East Bay,Main Campus,25800 CARLOS BEE BLVD,HAYWARD,CA,94542,1,"Public, 4-year or above",5972.0,9556.0,15528.0,4,3,0,0,"25800 CARLOS BEE BLVD HAYWARD, CA","[37.6571283, -122.0567449]",37.6571283,-122.0567449
476,California State University-East Bay,Oakland Center,"1000 Broadway, Suite 109",Oakland,CA,94607,1,"Public, 4-year or above",5972.0,9556.0,15528.0,0,1,1,0,"1000 Broadway, Suite 109 Oakland, CA","[37.8015818, -122.2720879]",37.8015818,-122.2720879
477,California State University-Long Beach,Main Campus,1250 BELLFLOWER BLVD,LONG BEACH,CA,908400115,1,"Public, 4-year or above",16147.0,21299.0,37446.0,4,3,0,0,"1250 BELLFLOWER BLVD LONG BEACH, CA","[33.7826983, -118.1223044]",33.7826983,-118.1223044
478,California State University-Los Angeles,"California State University, Los Angeles",5151 STATE UNIVERSITY DR,LOS ANGELES,CA,90032,1,"Public, 4-year or above",11563.0,16117.0,27680.0,2,2,0,10,"5151 STATE UNIVERSITY DR LOS ANGELES, CA","[34.0620391, -118.1736587]",34.0620391,-118.1736587
479,California State University-Northridge,"California State University, Northridge",18111 NORDHOFF ST,NORTHRIDGE,CA,913308282,1,"Public, 4-year or above",18784.0,22764.0,41548.0,5,4,3,1,"18111 NORDHOFF ST NORTHRIDGE, CA","[34.237378, -118.5281711]",34.237378,-118.5281711
480,California State University-Sacramento,Sacramento State,6000 J Street,Sacramento,CA,958192694,1,"Public, 4-year or above",13121.0,17163.0,30284.0,2,5,5,4,"6000 J Street Sacramento, CA","[38.5634174, -121.4282078]",38.5634174,-121.4282078
