UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD14,NEG_M14,RAPE14,FONDL14,INCES14,STATR14,ROBBE14,AGG_A14,BURGLA14,VEHIC14,ARSON14,MURD15,NEG_M15,RAPE15,FONDL15,INCES15,STATR15,ROBBE15,AGG_A15,BURGLA15,VEHIC15,ARSON15,MURD16,NEG_M16,RAPE16,FONDL16,INCES16,STATR16,ROBBE16,AGG_A16,BURGLA16,VEHIC16,ARSON16,FILTER14,FILTER15,FILTER16
129932001,New England Tractor Trailer Training School of Connecticut,Main Campus,32 FIELD RD,SOMERS,CT,06071,9,"Private for-profit, less-than 2-year",330,14,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
129941001,University of New Haven,University of New Haven,300 Boston Post Rd.,WEST HAVEN,CT,06516,2,"Private nonprofit, 4-year or above",3462,3373,6835,0,0,4,1,0,0,0,0,6,0,0,0,0,4,0,0,0,1,0,5,3,0,0,0,1,5,0,0,0,0,4,0,0,1,1,1
129941002,University of New Haven,Lyme Academy College of Fine Arts,84 Lyme Street,Old Lyme,CT,06371,2,"Private nonprofit, 4-year or above",3462,3373,6835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
129969001,Ridley-Lowell Business & Technical Institute-New London,Main Campus,470 BANK ST,NEW LONDON,CT,06320,9,"Private for-profit, less-than 2-year",38,118,156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130004001,Norwalk Community College,Norwalk Community College (Main Campus),188 Richards Avenue,Norwalk,CT,068541655,4,"Public, 2-year",2404,3396,5800,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
130040001,Northwestern Connecticut Community College,Main Campus,PARK PL E,WINSTED,CT,06098,4,"Public, 2-year",452,954,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130110001,Paier College of Art Inc,Main Campus,20 GORHAM AVE,HAMDEN,CT,065143902,3,"Private for-profit, 4-year or above",32,71,103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130174001,Porter and Chester Institute of Stratford,Main Campus,670 Lordship Boulevard,Stratford,CT,066157158,9,"Private for-profit, less-than 2-year",1345,583,1928,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130174002,Porter and Chester Institute of Stratford,Porter & Chester Institute - Rocky Hill,30 Waterchase Drive,Rocky Hill,CT,06067,9,"Private for-profit, less-than 2-year",1345,583,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130174003,Porter and Chester Institute of Stratford,Porter & Chester Institute - Enfield,138 WEYMOUTH RD,ENFIELD,CT,06082,9,"Private for-profit, less-than 2-year",1345,583,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130174004,Porter and Chester Institute of Stratford,Porter & Chester Institute - Waterbury,881 Wolcott Street,WATERBURY,CT,06705,9,"Private for-profit, less-than 2-year",1345,583,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130174005,Porter and Chester Institute of Stratford,Porter & Chester Institute - Chicopee,134 DULONG CIR,CHICOPEE,MA,01022,9,"Private for-profit, less-than 2-year",1345,583,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
130174006,Porter and Chester Institute of Stratford,Porter & Chester Institute - Worcester,220 Brooks Street,Worcester,MA,01606,9,"Private for-profit, less-than 2-year",1345,583,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130174007,Porter and Chester Institute of Stratford,Porter & Chester Institute - Canton,5 Campanelli Circle,Canton,MA,02021,9,"Private for-profit, less-than 2-year",1345,583,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130174008,Porter and Chester Institute of Stratford,Porter & Chester Institute - Woburn,8 Presidential Way,Woburn,MA,01801,9,"Private for-profit, less-than 2-year",1345,583,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130183001,Post University,Main Campus,800 COUNTRY CLUB RD,WATERBURY,CT,06723,3,"Private for-profit, 4-year or above",2894,4787,7681,0,0,4,2,0,0,0,0,27,0,0,0,0,1,1,0,0,0,1,7,0,0,0,0,0,1,0,0,0,3,5,0,0,1,1,1
130217001,Quinebaug Valley Community College,Main Campus,742 Upper Maple Street,Danielson,CT,062391436,4,"Public, 2-year",628,931,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130217002,Quinebaug Valley Community College,Willimantic Center,729 Main Street,Willimantic,CT,062262603,4,"Public, 2-year",628,931,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130226001,Quinnipiac University,Main Campus,275 MOUNT CARMEL AVE,HAMDEN,CT,06518,2,"Private nonprofit, 4-year or above",3806,6094,9900,0,0,5,0,0,0,1,5,11,0,0,0,0,4,1,0,0,0,4,18,0,1,0,0,2,0,0,0,0,1,10,1,0,1,1,1
130253001,Sacred Heart University,Main Campus,5151 PARK AVE,FAIRFIELD,CT,068251000,2,"Private nonprofit, 4-year or above",2843,5689,8532,0,0,0,1,0,0,0,0,5,1,0,0,0,0,2,0,0,1,1,1,0,0,0,0,4,0,0,0,0,1,4,0,0,1,1,1
130253002,Sacred Heart University,Sacred Heart University- Stamford Campus,3 Landmark Square,Stamford,CT,06901,2,"Private nonprofit, 4-year or above",2843,5689,8532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130253003,Sacred Heart University,Sacred Heart University- Griswold Campus,267 Slater Avenue  P.O. Box 399,Griswold,CT,06351,2,"Private nonprofit, 4-year or above",2843,5689,8532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130253004,Sacred Heart University,Sacred Heart University at Luxembourg,"7, Rue Alcide de Gasperi L-2981 Luxembourg",Luxembourg,,,2,"Private nonprofit, 4-year or above",2843,5689,8532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
