,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long,Assault,Robbery,Fondling,Rape,AGG_A16_hover_text,ROBBE16_hover_text,FONDL16_hover_text,RAPE16_hover_text
25,Glendale Community College,Garfield Campus,1122 E. Garfield Ave,Glendale,CA,912052526,4,"Public, 2-year",6933,8245,15178,0,0,1,0,"1122 E. Garfield Ave, Glendale, CA","[34.1359373, -118.2405981]",34.1359373,-118.2405981,0,0.1,0,0,"Glendale Community College<br>Glendale, CA<br>Crime Count: 0<br>Enrollment: 15178<br>Rate per 1000 students: 0.0","Glendale Community College<br>Glendale, CA<br>Crime Count: 1<br>Enrollment: 15178<br>Rate per 1000 students: 0.1","Glendale Community College<br>Glendale, CA<br>Crime Count: 0<br>Enrollment: 15178<br>Rate per 1000 students: 0.0","Glendale Community College<br>Glendale, CA<br>Crime Count: 0<br>Enrollment: 15178<br>Rate per 1000 students: 0.0"
26,Harvey Mudd College,Main Campus,301 Platt Boulevard,Claremont,CA,917113947,2,"Private nonprofit, 4-year or above",457,385,842,5,8,0,0,"301 Platt Boulevard, Claremont, CA","[34.1061112, -117.7089441]",34.1061112,-117.7089441,0,0,9.5,5.9,"Harvey Mudd College<br>Claremont, CA<br>Crime Count: 0<br>Enrollment: 842<br>Rate per 1000 students: 0.0","Harvey Mudd College<br>Claremont, CA<br>Crime Count: 0<br>Enrollment: 842<br>Rate per 1000 students: 0.0","Harvey Mudd College<br>Claremont, CA<br>Crime Count: 8<br>Enrollment: 842<br>Rate per 1000 students: 9.5","Harvey Mudd College<br>Claremont, CA<br>Crime Count: 5<br>Enrollment: 842<br>Rate per 1000 students: 5.9"
27,Humboldt State University,Humboldt State University,1 HARPST STREET,ARCATA,CA,955218299,1,"Public, 4-year or above",3716,4787,8503,4,1,2,2,"1 HARPST STREET, ARCATA, CA","[40.8770251, -124.0791468]",40.8770251,-124.0791468,0.2,0.2,0.1,0.5,"Humboldt State University<br>Arcata, CA<br>Crime Count: 2<br>Enrollment: 8503<br>Rate per 1000 students: 0.2","Humboldt State University<br>Arcata, CA<br>Crime Count: 2<br>Enrollment: 8503<br>Rate per 1000 students: 0.2","Humboldt State University<br>Arcata, CA<br>Crime Count: 1<br>Enrollment: 8503<br>Rate per 1000 students: 0.1","Humboldt State University<br>Arcata, CA<br>Crime Count: 4<br>Enrollment: 8503<br>Rate per 1000 students: 0.5"
28,Loma Linda University,Loma Linda University,11206 Campus Street Suite A,LOMA LINDA,CA,92354,2,"Private nonprofit, 4-year or above",1633,2811,4444,0,2,0,0,"11206 Campus Street Suite A, LOMA LINDA, CA","[34.0499579, -117.266044]",34.0499579,-117.266044,0,0,0.5,0,"Loma Linda University<br>Loma Linda, CA<br>Crime Count: 0<br>Enrollment: 4444<br>Rate per 1000 students: 0.0","Loma Linda University<br>Loma Linda, CA<br>Crime Count: 0<br>Enrollment: 4444<br>Rate per 1000 students: 0.0","Loma Linda University<br>Loma Linda, CA<br>Crime Count: 2<br>Enrollment: 4444<br>Rate per 1000 students: 0.5","Loma Linda University<br>Loma Linda, CA<br>Crime Count: 0<br>Enrollment: 4444<br>Rate per 1000 students: 0.0"
29,National University,Los Angeles,"5245 Pacific Concourse Drive, Suite 100",Los Angeles,CA,900456905,2,"Private nonprofit, 4-year or above",6755,10437,17192,0,0,1,0,"5245 Pacific Concourse Drive, Suite 100, Los Angeles, CA","[33.9282034, -118.3725372]",33.9282034,-118.3725372,0,0.1,0,0,"National University<br>Los Angeles, CA<br>Crime Count: 0<br>Enrollment: 17192<br>Rate per 1000 students: 0.0","National University<br>Los Angeles, CA<br>Crime Count: 1<br>Enrollment: 17192<br>Rate per 1000 students: 0.1","National University<br>Los Angeles, CA<br>Crime Count: 0<br>Enrollment: 17192<br>Rate per 1000 students: 0.0","National University<br>Los Angeles, CA<br>Crime Count: 0<br>Enrollment: 17192<br>Rate per 1000 students: 0.0"
30,Occidental College,Occidental College,1600 CAMPUS RD,LOS ANGELES,CA,900413392,2,"Private nonprofit, 4-year or above",863,1106,1969,6,4,1,2,"1600 CAMPUS RD, LOS ANGELES, CA","[34.1273233, -118.2102962]",34.1273233,-118.2102962,1,0.5,2,3,"Occidental College<br>Los Angeles, CA<br>Crime Count: 2<br>Enrollment: 1969<br>Rate per 1000 students: 1.0","Occidental College<br>Los Angeles, CA<br>Crime Count: 1<br>Enrollment: 1969<br>Rate per 1000 students: 0.5","Occidental College<br>Los Angeles, CA<br>Crime Count: 4<br>Enrollment: 1969<br>Rate per 1000 students: 2.0","Occidental College<br>Los Angeles, CA<br>Crime Count: 6<br>Enrollment: 1969<br>Rate per 1000 students: 3.0"
31,Pepperdine University,Malibu - Main Campus,24255 Pacific Coast Highway,Malibu,CA,90263,2,"Private nonprofit, 4-year or above",3197,4629,7826,2,0,0,0,"24255 Pacific Coast Highway, Malibu, CA","[34.0390661, -118.7056781]",34.0390661,-118.7056781,0,0,0,0.3,"Pepperdine University<br>Malibu, CA<br>Crime Count: 0<br>Enrollment: 7826<br>Rate per 1000 students: 0.0","Pepperdine University<br>Malibu, CA<br>Crime Count: 0<br>Enrollment: 7826<br>Rate per 1000 students: 0.0","Pepperdine University<br>Malibu, CA<br>Crime Count: 0<br>Enrollment: 7826<br>Rate per 1000 students: 0.0","Pepperdine University<br>Malibu, CA<br>Crime Count: 2<br>Enrollment: 7826<br>Rate per 1000 students: 0.3"
32,San Joaquin Valley College-Visalia,Hesperia Campus,9331 Mariposa Rd,Hesperia,CA,92344,6,"Private for-profit, 2-year",1651,3902,5553,0,0,0,1,"9331 Mariposa Rd, Hesperia, CA","[34.4206648, -117.383116]",34.4206648,-117.383116,0.2,0,0,0,"San Joaquin Valley College-Visalia<br>Hesperia, CA<br>Crime Count: 1<br>Enrollment: 5553<br>Rate per 1000 students: 0.2","San Joaquin Valley College-Visalia<br>Hesperia, CA<br>Crime Count: 0<br>Enrollment: 5553<br>Rate per 1000 students: 0.0","San Joaquin Valley College-Visalia<br>Hesperia, CA<br>Crime Count: 0<br>Enrollment: 5553<br>Rate per 1000 students: 0.0","San Joaquin Valley College-Visalia<br>Hesperia, CA<br>Crime Count: 0<br>Enrollment: 5553<br>Rate per 1000 students: 0.0"
33,University of Colorado Denver/Anschutz Medical Campus,CU Denver - Anschutz Medical Campus,13001 E. 17th Pl.,Aurora,CO,80045,1,"Public, 4-year or above",10164,13796,23960,0,2,0,1,"13001 E. 17th Pl., Aurora, CO","[39.7452818, -104.8375727]",39.7452818,-104.8375727,0,0,0.1,0,"University of Colorado Denver/Anschutz Medical Campus<br>Aurora, CO<br>Crime Count: 1<br>Enrollment: 23960<br>Rate per 1000 students: 0.0","University of Colorado Denver/Anschutz Medical Campus<br>Aurora, CO<br>Crime Count: 0<br>Enrollment: 23960<br>Rate per 1000 students: 0.0","University of Colorado Denver/Anschutz Medical Campus<br>Aurora, CO<br>Crime Count: 2<br>Enrollment: 23960<br>Rate per 1000 students: 0.1","University of Colorado Denver/Anschutz Medical Campus<br>Aurora, CO<br>Crime Count: 0<br>Enrollment: 23960<br>Rate per 1000 students: 0.0"
34,University of Colorado Boulder,Main Campus,Campus Box 17 UCB,Boulder,CO,803090017,1,"Public, 4-year or above",18983,14994,33977,14,12,1,8,"Campus Box 17 UCB, Boulder, CO","[40.00758099999999, -105.2659417]",40.007581,-105.2659417,0.2,0,0.4,0.4,"University of Colorado Boulder<br>Boulder, CO<br>Crime Count: 8<br>Enrollment: 33977<br>Rate per 1000 students: 0.2","University of Colorado Boulder<br>Boulder, CO<br>Crime Count: 1<br>Enrollment: 33977<br>Rate per 1000 students: 0.0","University of Colorado Boulder<br>Boulder, CO<br>Crime Count: 12<br>Enrollment: 33977<br>Rate per 1000 students: 0.4","University of Colorado Boulder<br>Boulder, CO<br>Crime Count: 14<br>Enrollment: 33977<br>Rate per 1000 students: 0.4"
35,Colorado College,Colorado College,14 E CACHE LA POUDRE,COLORADO SPRINGS,CO,80903,2,"Private nonprofit, 4-year or above",966,1148,2114,14,0,0,0,"14 E CACHE LA POUDRE, COLORADO SPRINGS, CO","[38.847021, -104.823665]",38.847021,-104.823665,0,0,0,6.6,"Colorado College<br>Colorado Springs, CO<br>Crime Count: 0<br>Enrollment: 2114<br>Rate per 1000 students: 0.0","Colorado College<br>Colorado Springs, CO<br>Crime Count: 0<br>Enrollment: 2114<br>Rate per 1000 students: 0.0","Colorado College<br>Colorado Springs, CO<br>Crime Count: 0<br>Enrollment: 2114<br>Rate per 1000 students: 0.0","Colorado College<br>Colorado Springs, CO<br>Crime Count: 14<br>Enrollment: 2114<br>Rate per 1000 students: 6.6"
36,Colorado School of Mines,Main Campus,1500 ILLINOIS ST,GOLDEN,CO,80401,1,"Public, 4-year or above",4257,1812,6069,8,1,0,0,"1500 ILLINOIS ST, GOLDEN, CO","[39.7510216, -105.2225769]",39.7510216,-105.2225769,0,0,0.2,1.3,"Colorado School of Mines<br>Golden, CO<br>Crime Count: 0<br>Enrollment: 6069<br>Rate per 1000 students: 0.0","Colorado School of Mines<br>Golden, CO<br>Crime Count: 0<br>Enrollment: 6069<br>Rate per 1000 students: 0.0","Colorado School of Mines<br>Golden, CO<br>Crime Count: 1<br>Enrollment: 6069<br>Rate per 1000 students: 0.2","Colorado School of Mines<br>Golden, CO<br>Crime Count: 8<br>Enrollment: 6069<br>Rate per 1000 students: 1.3"
37,Colorado State University-Fort Collins,Main Campus,102 Administration Building,Fort Collins,CO,805230100,1,"Public, 4-year or above",15238,16618,31856,14,7,0,0,"102 Administration Building, Fort Collins, CO","[40.5747743, -105.0807267]",40.5747743,-105.0807267,0,0,0.2,0.4,"Colorado State University-Fort Collins<br>Fort Collins, CO<br>Crime Count: 0<br>Enrollment: 31856<br>Rate per 1000 students: 0.0","Colorado State University-Fort Collins<br>Fort Collins, CO<br>Crime Count: 0<br>Enrollment: 31856<br>Rate per 1000 students: 0.0","Colorado State University-Fort Collins<br>Fort Collins, CO<br>Crime Count: 7<br>Enrollment: 31856<br>Rate per 1000 students: 0.2","Colorado State University-Fort Collins<br>Fort Collins, CO<br>Crime Count: 14<br>Enrollment: 31856<br>Rate per 1000 students: 0.4"
38,Pikes Peak Community College,Rampart Range Campus,11195 Highway 83,Colorado Springs,CO,809213602,4,"Public, 2-year",5631,7523,13154,0,1,0,0,"11195 Highway 83, Colorado Springs, CO","[38.9987273, -104.7809711]",38.9987273,-104.7809711,0,0,0.1,0,"Pikes Peak Community College<br>Colorado Springs, CO<br>Crime Count: 0<br>Enrollment: 13154<br>Rate per 1000 students: 0.0","Pikes Peak Community College<br>Colorado Springs, CO<br>Crime Count: 0<br>Enrollment: 13154<br>Rate per 1000 students: 0.0","Pikes Peak Community College<br>Colorado Springs, CO<br>Crime Count: 1<br>Enrollment: 13154<br>Rate per 1000 students: 0.1","Pikes Peak Community College<br>Colorado Springs, CO<br>Crime Count: 0<br>Enrollment: 13154<br>Rate per 1000 students: 0.0"
39,Regis University,Northwest Denver Campus,3333 REGIS BLVD,DENVER,CO,802211099,2,"Private nonprofit, 4-year or above",3141,5227,8368,4,3,0,1,"3333 REGIS BLVD, DENVER, CO","[39.7878312, -105.02576]",39.7878312,-105.02576,0.1,0,0.4,0.5,"Regis University<br>Denver, CO<br>Crime Count: 1<br>Enrollment: 8368<br>Rate per 1000 students: 0.1","Regis University<br>Denver, CO<br>Crime Count: 0<br>Enrollment: 8368<br>Rate per 1000 students: 0.0","Regis University<br>Denver, CO<br>Crime Count: 3<br>Enrollment: 8368<br>Rate per 1000 students: 0.4","Regis University<br>Denver, CO<br>Crime Count: 4<br>Enrollment: 8368<br>Rate per 1000 students: 0.5"
40,Intellitec College-Grand Junction,INTELLITEC COLLEGE - Albuquerque,5001 Montgomery Blvd. NE Suite A24,Albuquerque,NM,87109,6,"Private for-profit, 2-year",434,508,942,0,0,0,1,"5001 Montgomery Blvd. NE Suite A24, Albuquerque, NM","[35.1327927, -106.587975]",35.1327927,-106.587975,1.1,0,0,0,"Intellitec College-Grand Junction<br>Albuquerque, NM<br>Crime Count: 1<br>Enrollment: 942<br>Rate per 1000 students: 1.1","Intellitec College-Grand Junction<br>Albuquerque, NM<br>Crime Count: 0<br>Enrollment: 942<br>Rate per 1000 students: 0.0","Intellitec College-Grand Junction<br>Albuquerque, NM<br>Crime Count: 0<br>Enrollment: 942<br>Rate per 1000 students: 0.0","Intellitec College-Grand Junction<br>Albuquerque, NM<br>Crime Count: 0<br>Enrollment: 942<br>Rate per 1000 students: 0.0"
42,Barry University,Main Campus,11300 NE 2ND AVE,MIAMI,FL,331616695,2,"Private nonprofit, 4-year or above",2600,4804,7404,1,1,1,0,"11300 NE 2ND AVE, MIAMI, FL","[25.8790842, -80.1963899]",25.8790842,-80.1963899,0,0.1,0.1,0.1,"Barry University<br>Miami, FL<br>Crime Count: 0<br>Enrollment: 7404<br>Rate per 1000 students: 0.0","Barry University<br>Miami, FL<br>Crime Count: 1<br>Enrollment: 7404<br>Rate per 1000 students: 0.1","Barry University<br>Miami, FL<br>Crime Count: 1<br>Enrollment: 7404<br>Rate per 1000 students: 0.1","Barry University<br>Miami, FL<br>Crime Count: 1<br>Enrollment: 7404<br>Rate per 1000 students: 0.1"
43,Florida Agricultural and Mechanical University,Main Campus,Lee Hall    1601 S. Martin Luther King Jr. Blvd,Tallahassee,FL,32307,1,"Public, 4-year or above",3419,6200,9619,6,0,1,0,"Lee Hall    1601 S. Martin Luther King Jr. Blvd, Tallahassee, FL","[30.42685509999999, -84.2851136]",30.4268551,-84.2851136,0,0.1,0,0.6,"Florida Agricultural and Mechanical University<br>Tallahassee, FL<br>Crime Count: 0<br>Enrollment: 9619<br>Rate per 1000 students: 0.0","Florida Agricultural and Mechanical University<br>Tallahassee, FL<br>Crime Count: 1<br>Enrollment: 9619<br>Rate per 1000 students: 0.1","Florida Agricultural and Mechanical University<br>Tallahassee, FL<br>Crime Count: 0<br>Enrollment: 9619<br>Rate per 1000 students: 0.0","Florida Agricultural and Mechanical University<br>Tallahassee, FL<br>Crime Count: 6<br>Enrollment: 9619<br>Rate per 1000 students: 0.6"
44,Florida State College at Jacksonville,North,4501 CAPPER ROAD,JACKSONVILLE,FL,32218,1,"Public, 4-year or above",9585,14493,24078,0,0,0,1,"4501 CAPPER ROAD, JACKSONVILLE, FL","[30.4291817, -81.7182687]",30.4291817,-81.7182687,0,0,0,0,"Florida State College at Jacksonville<br>Jacksonville, FL<br>Crime Count: 1<br>Enrollment: 24078<br>Rate per 1000 students: 0.0","Florida State College at Jacksonville<br>Jacksonville, FL<br>Crime Count: 0<br>Enrollment: 24078<br>Rate per 1000 students: 0.0","Florida State College at Jacksonville<br>Jacksonville, FL<br>Crime Count: 0<br>Enrollment: 24078<br>Rate per 1000 students: 0.0","Florida State College at Jacksonville<br>Jacksonville, FL<br>Crime Count: 0<br>Enrollment: 24078<br>Rate per 1000 students: 0.0"
