,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long,Assault,Robbery,Fondling,Rape,AGG_A16_hover_text,ROBBE16_hover_text,FONDL16_hover_text,RAPE16_hover_text
45,Florida International University,Modesto A. Maidique Campus,11200 S.W. 8 Street,MIAMI,FL,331990001,1,"Public, 4-year or above",23753,31250,55003,7,4,7,2,"11200 S.W. 8 Street, MIAMI, FL","[25.7590369, -80.37412929999999]",25.7590369,-80.3741293,0,0.1,0.1,0.1,"Florida International University<br>Miami, FL<br>Crime Count: 2<br>Enrollment: 55003<br>Rate per 1000 students: 0.0","Florida International University<br>Miami, FL<br>Crime Count: 7<br>Enrollment: 55003<br>Rate per 1000 students: 0.1","Florida International University<br>Miami, FL<br>Crime Count: 4<br>Enrollment: 55003<br>Rate per 1000 students: 0.1","Florida International University<br>Miami, FL<br>Crime Count: 7<br>Enrollment: 55003<br>Rate per 1000 students: 0.1"
46,Florida International University,Biscayne Bay Campus,3000 NE 15th St,Miami,FL,33181,1,"Public, 4-year or above",23753,31250,55003,1,0,0,0,"3000 NE 15th St, Miami, FL","[25.7583644, -80.2428918]",25.7583644,-80.2428918,0,0,0,0,"Florida International University<br>Miami, FL<br>Crime Count: 0<br>Enrollment: 55003<br>Rate per 1000 students: 0.0","Florida International University<br>Miami, FL<br>Crime Count: 0<br>Enrollment: 55003<br>Rate per 1000 students: 0.0","Florida International University<br>Miami, FL<br>Crime Count: 0<br>Enrollment: 55003<br>Rate per 1000 students: 0.0","Florida International University<br>Miami, FL<br>Crime Count: 1<br>Enrollment: 55003<br>Rate per 1000 students: 0.0"
47,Florida Memorial University,Main Campus,15800 NW 42 AVE,Miami Gardens,FL,330546199,2,"Private nonprofit, 4-year or above",486,853,1339,2,0,1,1,"15800 NW 42 AVE, Miami Gardens, FL","[25.9182546, -80.27078999999999]",25.9182546,-80.27079,0.7,0.7,0,1.5,"Florida Memorial University<br>Miami Gardens, FL<br>Crime Count: 1<br>Enrollment: 1339<br>Rate per 1000 students: 0.7","Florida Memorial University<br>Miami Gardens, FL<br>Crime Count: 1<br>Enrollment: 1339<br>Rate per 1000 students: 0.7","Florida Memorial University<br>Miami Gardens, FL<br>Crime Count: 0<br>Enrollment: 1339<br>Rate per 1000 students: 0.0","Florida Memorial University<br>Miami Gardens, FL<br>Crime Count: 2<br>Enrollment: 1339<br>Rate per 1000 students: 1.5"
48,Florida State University,Main Campus,211 WESTCOTT BLDG,TALLAHASSEE,FL,323061037,1,"Public, 4-year or above",18305,22868,41173,16,1,5,4,"211 WESTCOTT BLDG, TALLAHASSEE, FL","[30.4407399, -84.2918905]",30.4407399,-84.2918905,0.1,0.1,0,0.4,"Florida State University<br>Tallahassee, FL<br>Crime Count: 4<br>Enrollment: 41173<br>Rate per 1000 students: 0.1","Florida State University<br>Tallahassee, FL<br>Crime Count: 5<br>Enrollment: 41173<br>Rate per 1000 students: 0.1","Florida State University<br>Tallahassee, FL<br>Crime Count: 1<br>Enrollment: 41173<br>Rate per 1000 students: 0.0","Florida State University<br>Tallahassee, FL<br>Crime Count: 16<br>Enrollment: 41173<br>Rate per 1000 students: 0.4"
49,State College of Florida-Manatee-Sarasota,Bradenton Campus,5840 26TH ST W,BRADENTON,FL,34207,1,"Public, 4-year or above",4043,6437,10480,0,0,1,1,"5840 26TH ST W, BRADENTON, FL","[27.439483, -82.594276]",27.439483,-82.594276,0.1,0.1,0,0,"State College of Florida-Manatee-Sarasota<br>Bradenton, FL<br>Crime Count: 1<br>Enrollment: 10480<br>Rate per 1000 students: 0.1","State College of Florida-Manatee-Sarasota<br>Bradenton, FL<br>Crime Count: 1<br>Enrollment: 10480<br>Rate per 1000 students: 0.1","State College of Florida-Manatee-Sarasota<br>Bradenton, FL<br>Crime Count: 0<br>Enrollment: 10480<br>Rate per 1000 students: 0.0","State College of Florida-Manatee-Sarasota<br>Bradenton, FL<br>Crime Count: 0<br>Enrollment: 10480<br>Rate per 1000 students: 0.0"
50,Rollins College,Main Campus,1000 HOLT AVE,WINTER PARK,FL,327894499,2,"Private nonprofit, 4-year or above",1333,1907,3240,16,5,1,2,"1000 HOLT AVE, WINTER PARK, FL","[28.5926397, -81.3483372]",28.5926397,-81.3483372,0.6,0.3,1.5,4.9,"Rollins College<br>Winter Park, FL<br>Crime Count: 2<br>Enrollment: 3240<br>Rate per 1000 students: 0.6","Rollins College<br>Winter Park, FL<br>Crime Count: 1<br>Enrollment: 3240<br>Rate per 1000 students: 0.3","Rollins College<br>Winter Park, FL<br>Crime Count: 5<br>Enrollment: 3240<br>Rate per 1000 students: 1.5","Rollins College<br>Winter Park, FL<br>Crime Count: 16<br>Enrollment: 3240<br>Rate per 1000 students: 4.9"
52,Clayton  State University,Clayton State University,2000 Clayton State Blvd.,MORROW,GA,302600285,1,"Public, 4-year or above",2188,4808,6996,1,0,0,0,"2000 Clayton State Blvd., MORROW, GA","[33.5944329, -84.33076100000001]",33.5944329,-84.330761,0,0,0,0.1,"Clayton  State University<br>Morrow, GA<br>Crime Count: 0<br>Enrollment: 6996<br>Rate per 1000 students: 0.0","Clayton  State University<br>Morrow, GA<br>Crime Count: 0<br>Enrollment: 6996<br>Rate per 1000 students: 0.0","Clayton  State University<br>Morrow, GA<br>Crime Count: 0<br>Enrollment: 6996<br>Rate per 1000 students: 0.0","Clayton  State University<br>Morrow, GA<br>Crime Count: 1<br>Enrollment: 6996<br>Rate per 1000 students: 0.1"
53,Georgia State University,Main Campus,PO Box 3965,ATLANTA,GA,303023965,1,"Public, 4-year or above",13081,19156,32237,4,0,8,7,"PO Box 3965, ATLANTA, GA","[33.753068, -84.38528190000001]",33.753068,-84.3852819,0.2,0.2,0,0.1,"Georgia State University<br>Atlanta, GA<br>Crime Count: 7<br>Enrollment: 32237<br>Rate per 1000 students: 0.2","Georgia State University<br>Atlanta, GA<br>Crime Count: 8<br>Enrollment: 32237<br>Rate per 1000 students: 0.2","Georgia State University<br>Atlanta, GA<br>Crime Count: 0<br>Enrollment: 32237<br>Rate per 1000 students: 0.0","Georgia State University<br>Atlanta, GA<br>Crime Count: 4<br>Enrollment: 32237<br>Rate per 1000 students: 0.1"
54,University of Georgia,Main Campus,The University of Georgia,ATHENS,GA,30602,1,"Public, 4-year or above",15584,20990,36574,14,4,2,1,"The University of Georgia, ATHENS, GA","[33.9480053, -83.3773221]",33.9480053,-83.3773221,0,0.1,0.1,0.4,"University of Georgia<br>Athens, GA<br>Crime Count: 1<br>Enrollment: 36574<br>Rate per 1000 students: 0.0","University of Georgia<br>Athens, GA<br>Crime Count: 2<br>Enrollment: 36574<br>Rate per 1000 students: 0.1","University of Georgia<br>Athens, GA<br>Crime Count: 4<br>Enrollment: 36574<br>Rate per 1000 students: 0.1","University of Georgia<br>Athens, GA<br>Crime Count: 14<br>Enrollment: 36574<br>Rate per 1000 students: 0.4"
55,Southern Crescent Technical College,Flint River Campus,1533 Hwy 19 South,Thomaston,GA,30286,4,"Public, 2-year",1596,3107,4703,0,1,0,0,"1533 Hwy 19 South, Thomaston, GA","[32.8619399, -84.3174878]",32.8619399,-84.3174878,0,0,0.2,0,"Southern Crescent Technical College<br>Thomaston, GA<br>Crime Count: 0<br>Enrollment: 4703<br>Rate per 1000 students: 0.0","Southern Crescent Technical College<br>Thomaston, GA<br>Crime Count: 0<br>Enrollment: 4703<br>Rate per 1000 students: 0.0","Southern Crescent Technical College<br>Thomaston, GA<br>Crime Count: 1<br>Enrollment: 4703<br>Rate per 1000 students: 0.2","Southern Crescent Technical College<br>Thomaston, GA<br>Crime Count: 0<br>Enrollment: 4703<br>Rate per 1000 students: 0.0"
56,LaGrange College,LaGrange College,601 Broad Street,LaGrange,GA,302402999,2,"Private nonprofit, 4-year or above",492,534,1026,0,1,0,1,"601 Broad Street, LaGrange, GA","[33.037953, -85.04593799999999]",33.037953,-85.045938,1,0,1,0,"LaGrange College<br>Lagrange, GA<br>Crime Count: 1<br>Enrollment: 1026<br>Rate per 1000 students: 1.0","LaGrange College<br>Lagrange, GA<br>Crime Count: 0<br>Enrollment: 1026<br>Rate per 1000 students: 0.0","LaGrange College<br>Lagrange, GA<br>Crime Count: 1<br>Enrollment: 1026<br>Rate per 1000 students: 1.0","LaGrange College<br>Lagrange, GA<br>Crime Count: 0<br>Enrollment: 1026<br>Rate per 1000 students: 0.0"
57,Mercer University,Atlanta Campus,3001 Mercer University Drive,Atlanta,GA,30341,2,"Private nonprofit, 4-year or above",3179,5436,8615,1,0,0,0,"3001 Mercer University Drive, Atlanta, GA","[33.8738198, -84.2630939]",33.8738198,-84.2630939,0,0,0,0.1,"Mercer University<br>Atlanta, GA<br>Crime Count: 0<br>Enrollment: 8615<br>Rate per 1000 students: 0.0","Mercer University<br>Atlanta, GA<br>Crime Count: 0<br>Enrollment: 8615<br>Rate per 1000 students: 0.0","Mercer University<br>Atlanta, GA<br>Crime Count: 0<br>Enrollment: 8615<br>Rate per 1000 students: 0.0","Mercer University<br>Atlanta, GA<br>Crime Count: 1<br>Enrollment: 8615<br>Rate per 1000 students: 0.1"
58,Savannah College of Art and Design,Main Campus - Savannah,342 BULL ST,SAVANNAH,GA,314023146,2,"Private nonprofit, 4-year or above",4195,8169,12364,4,1,1,2,"342 BULL ST, SAVANNAH, GA","[32.072944, -81.093773]",32.072944,-81.093773,0.2,0.1,0.1,0.3,"Savannah College of Art and Design<br>Savannah, GA<br>Crime Count: 2<br>Enrollment: 12364<br>Rate per 1000 students: 0.2","Savannah College of Art and Design<br>Savannah, GA<br>Crime Count: 1<br>Enrollment: 12364<br>Rate per 1000 students: 0.1","Savannah College of Art and Design<br>Savannah, GA<br>Crime Count: 1<br>Enrollment: 12364<br>Rate per 1000 students: 0.1","Savannah College of Art and Design<br>Savannah, GA<br>Crime Count: 4<br>Enrollment: 12364<br>Rate per 1000 students: 0.3"
59,Savannah State University,Savannah State University,3219 COLLEGE STREET,SAVANNAH,GA,31404,1,"Public, 4-year or above",1977,2978,4955,0,0,3,9,"3219 COLLEGE STREET, SAVANNAH, GA","[32.0229767, -81.05557560000001]",32.0229767,-81.0555756,1.8,0.6,0,0,"Savannah State University<br>Savannah, GA<br>Crime Count: 9<br>Enrollment: 4955<br>Rate per 1000 students: 1.8","Savannah State University<br>Savannah, GA<br>Crime Count: 3<br>Enrollment: 4955<br>Rate per 1000 students: 0.6","Savannah State University<br>Savannah, GA<br>Crime Count: 0<br>Enrollment: 4955<br>Rate per 1000 students: 0.0","Savannah State University<br>Savannah, GA<br>Crime Count: 0<br>Enrollment: 4955<br>Rate per 1000 students: 0.0"
60,Idaho State University,ISU -- Pocatello,"921 S. 8th Ave., Stop 8310",POCATELLO,ID,832098140,1,"Public, 4-year or above",5904,7012,12916,1,1,0,0,"921 S. 8th Ave., Stop 8310, POCATELLO, ID","[42.8627231, -112.4297156]",42.8627231,-112.4297156,0,0,0.1,0.1,"Idaho State University<br>Pocatello, ID<br>Crime Count: 0<br>Enrollment: 12916<br>Rate per 1000 students: 0.0","Idaho State University<br>Pocatello, ID<br>Crime Count: 0<br>Enrollment: 12916<br>Rate per 1000 students: 0.0","Idaho State University<br>Pocatello, ID<br>Crime Count: 1<br>Enrollment: 12916<br>Rate per 1000 students: 0.1","Idaho State University<br>Pocatello, ID<br>Crime Count: 1<br>Enrollment: 12916<br>Rate per 1000 students: 0.1"
61,Northwest Nazarene University,Main Campus,623 S. University Boulevard,Nampa,ID,836865897,2,"Private nonprofit, 4-year or above",891,1266,2157,0,0,0,1,"623 S. University Boulevard, Nampa, ID","[43.5631616, -116.5644371]",43.5631616,-116.5644371,0.5,0,0,0,"Northwest Nazarene University<br>Nampa, ID<br>Crime Count: 1<br>Enrollment: 2157<br>Rate per 1000 students: 0.5","Northwest Nazarene University<br>Nampa, ID<br>Crime Count: 0<br>Enrollment: 2157<br>Rate per 1000 students: 0.0","Northwest Nazarene University<br>Nampa, ID<br>Crime Count: 0<br>Enrollment: 2157<br>Rate per 1000 students: 0.0","Northwest Nazarene University<br>Nampa, ID<br>Crime Count: 0<br>Enrollment: 2157<br>Rate per 1000 students: 0.0"
62,Brigham Young University-Idaho,BYU-Idaho,525 S CENTER,Rexburg,ID,834601650,2,"Private nonprofit, 4-year or above",19061,25760,44821,3,7,0,0,"525 S CENTER, Rexburg, ID","[43.8208449, -111.7823667]",43.8208449,-111.7823667,0,0,0.2,0.1,"Brigham Young University-Idaho<br>Rexburg, ID<br>Crime Count: 0<br>Enrollment: 44821<br>Rate per 1000 students: 0.0","Brigham Young University-Idaho<br>Rexburg, ID<br>Crime Count: 0<br>Enrollment: 44821<br>Rate per 1000 students: 0.0","Brigham Young University-Idaho<br>Rexburg, ID<br>Crime Count: 7<br>Enrollment: 44821<br>Rate per 1000 students: 0.2","Brigham Young University-Idaho<br>Rexburg, ID<br>Crime Count: 3<br>Enrollment: 44821<br>Rate per 1000 students: 0.1"
63,Aurora University,Main Campus,347 S GLADSTONE AVE,AURORA,IL,605064892,2,"Private nonprofit, 4-year or above",1765,3878,5643,1,0,0,0,"347 S GLADSTONE AVE, AURORA, IL","[41.7549208, -88.3476948]",41.7549208,-88.3476948,0,0,0,0.2,"Aurora University<br>Aurora, IL<br>Crime Count: 0<br>Enrollment: 5643<br>Rate per 1000 students: 0.0","Aurora University<br>Aurora, IL<br>Crime Count: 0<br>Enrollment: 5643<br>Rate per 1000 students: 0.0","Aurora University<br>Aurora, IL<br>Crime Count: 0<br>Enrollment: 5643<br>Rate per 1000 students: 0.0","Aurora University<br>Aurora, IL<br>Crime Count: 1<br>Enrollment: 5643<br>Rate per 1000 students: 0.2"
65,City Colleges of Chicago-Richard J Daley College,Arturo Velasquez Institute,2800 S. Western Ave.,Chicago,IL,60608,4,"Public, 2-year",3148,4259,7407,0,1,0,0,"2800 S. Western Ave., Chicago, IL","[41.8410444, -87.6863106]",41.8410444,-87.6863106,0,0,0.1,0,"City Colleges of Chicago-Richard J Daley College<br>Chicago, IL<br>Crime Count: 0<br>Enrollment: 7407<br>Rate per 1000 students: 0.0","City Colleges of Chicago-Richard J Daley College<br>Chicago, IL<br>Crime Count: 0<br>Enrollment: 7407<br>Rate per 1000 students: 0.0","City Colleges of Chicago-Richard J Daley College<br>Chicago, IL<br>Crime Count: 1<br>Enrollment: 7407<br>Rate per 1000 students: 0.1","City Colleges of Chicago-Richard J Daley College<br>Chicago, IL<br>Crime Count: 0<br>Enrollment: 7407<br>Rate per 1000 students: 0.0"
66,Governors State University,Main Campus,1 UNIVERSITY PKY,UNIVERSITY PARK,IL,60484,1,"Public, 4-year or above",2017,3802,5819,0,2,0,0,"1 UNIVERSITY PKY, UNIVERSITY PARK, IL","[41.4493472, -87.7135595]",41.4493472,-87.7135595,0,0,0.3,0,"Governors State University<br>University Park, IL<br>Crime Count: 0<br>Enrollment: 5819<br>Rate per 1000 students: 0.0","Governors State University<br>University Park, IL<br>Crime Count: 0<br>Enrollment: 5819<br>Rate per 1000 students: 0.0","Governors State University<br>University Park, IL<br>Crime Count: 2<br>Enrollment: 5819<br>Rate per 1000 students: 0.3","Governors State University<br>University Park, IL<br>Crime Count: 0<br>Enrollment: 5819<br>Rate per 1000 students: 0.0"
67,University of Illinois at Chicago,UIC Peoria Regional Campus,"One Illini Drive, Box 1649",Peoria,IL,61656,1,"Public, 4-year or above",13719,15401,29120,0,0,0,2,"One Illini Drive, Box 1649, Peoria, IL","[40.6972158, -89.5984105]",40.6972158,-89.5984105,0.1,0,0,0,"University of Illinois at Chicago<br>Peoria, IL<br>Crime Count: 2<br>Enrollment: 29120<br>Rate per 1000 students: 0.1","University of Illinois at Chicago<br>Peoria, IL<br>Crime Count: 0<br>Enrollment: 29120<br>Rate per 1000 students: 0.0","University of Illinois at Chicago<br>Peoria, IL<br>Crime Count: 0<br>Enrollment: 29120<br>Rate per 1000 students: 0.0","University of Illinois at Chicago<br>Peoria, IL<br>Crime Count: 0<br>Enrollment: 29120<br>Rate per 1000 students: 0.0"
69,Illinois Institute of Technology,Mies Campus,10 West 35th Street,CHICAGO,IL,60616,2,"Private nonprofit, 4-year or above",5060,2670,7730,1,0,18,2,"10 West 35th Street, CHICAGO, IL","[41.8313959, -87.6272312]",41.8313959,-87.6272312,0.3,2.3,0,0.1,"Illinois Institute of Technology<br>Chicago, IL<br>Crime Count: 2<br>Enrollment: 7730<br>Rate per 1000 students: 0.3","Illinois Institute of Technology<br>Chicago, IL<br>Crime Count: 18<br>Enrollment: 7730<br>Rate per 1000 students: 2.3","Illinois Institute of Technology<br>Chicago, IL<br>Crime Count: 0<br>Enrollment: 7730<br>Rate per 1000 students: 0.0","Illinois Institute of Technology<br>Chicago, IL<br>Crime Count: 1<br>Enrollment: 7730<br>Rate per 1000 students: 0.1"
71,Loyola University Chicago,Water Tower Campus,820 N. Michigan Avenue,Chicago,IL,606119810,2,"Private nonprofit, 4-year or above",5587,10835,16422,1,2,0,0,"820 N. Michigan Avenue, Chicago, IL","[41.897329, -87.6249946]",41.897329,-87.6249946,0,0,0.1,0.1,"Loyola University Chicago<br>Chicago, IL<br>Crime Count: 0<br>Enrollment: 16422<br>Rate per 1000 students: 0.0","Loyola University Chicago<br>Chicago, IL<br>Crime Count: 0<br>Enrollment: 16422<br>Rate per 1000 students: 0.0","Loyola University Chicago<br>Chicago, IL<br>Crime Count: 2<br>Enrollment: 16422<br>Rate per 1000 students: 0.1","Loyola University Chicago<br>Chicago, IL<br>Crime Count: 1<br>Enrollment: 16422<br>Rate per 1000 students: 0.1"
72,McKendree University,Main Campus,701 COLLEGE RD,LEBANON,IL,622541299,2,"Private nonprofit, 4-year or above",1243,1659,2902,2,0,2,0,"701 COLLEGE RD, LEBANON, IL","[38.60767209999999, -89.81570169999999]",38.6076721,-89.8157017,0,0.7,0,0.7,"McKendree University<br>Lebanon, IL<br>Crime Count: 0<br>Enrollment: 2902<br>Rate per 1000 students: 0.0","McKendree University<br>Lebanon, IL<br>Crime Count: 2<br>Enrollment: 2902<br>Rate per 1000 students: 0.7","McKendree University<br>Lebanon, IL<br>Crime Count: 0<br>Enrollment: 2902<br>Rate per 1000 students: 0.0","McKendree University<br>Lebanon, IL<br>Crime Count: 2<br>Enrollment: 2902<br>Rate per 1000 students: 0.7"
73,North Park University,Main Campus,3225 W . Foster Avenue,Chicago,IL,606254895,2,"Private nonprofit, 4-year or above",1085,1958,3043,8,0,1,3,"3225 W . Foster Avenue, Chicago, IL","[41.9748277, -87.7104042]",41.9748277,-87.7104042,1,0.3,0,2.6,"North Park University<br>Chicago, IL<br>Crime Count: 3<br>Enrollment: 3043<br>Rate per 1000 students: 1.0","North Park University<br>Chicago, IL<br>Crime Count: 1<br>Enrollment: 3043<br>Rate per 1000 students: 0.3","North Park University<br>Chicago, IL<br>Crime Count: 0<br>Enrollment: 3043<br>Rate per 1000 students: 0.0","North Park University<br>Chicago, IL<br>Crime Count: 8<br>Enrollment: 3043<br>Rate per 1000 students: 2.6"
74,Olivet Nazarene University,Olivet Nazarene University,One University Avenue,Bourbonnais,IL,609142271,2,"Private nonprofit, 4-year or above",1655,3252,4907,2,0,0,1,"One University Avenue, Bourbonnais, IL","[41.1551311, -87.874156]",41.1551311,-87.874156,0.2,0,0,0.4,"Olivet Nazarene University<br>Bourbonnais, IL<br>Crime Count: 1<br>Enrollment: 4907<br>Rate per 1000 students: 0.2","Olivet Nazarene University<br>Bourbonnais, IL<br>Crime Count: 0<br>Enrollment: 4907<br>Rate per 1000 students: 0.0","Olivet Nazarene University<br>Bourbonnais, IL<br>Crime Count: 0<br>Enrollment: 4907<br>Rate per 1000 students: 0.0","Olivet Nazarene University<br>Bourbonnais, IL<br>Crime Count: 2<br>Enrollment: 4907<br>Rate per 1000 students: 0.4"
75,Saint Xavier University,Chicago Campus,3700 W 103rd Street,Chicago,IL,606553110,2,"Private nonprofit, 4-year or above",1326,2570,3896,2,2,0,0,"3700 W 103rd Street, Chicago, IL","[41.7069171, -87.7161339]",41.7069171,-87.7161339,0,0,0.5,0.5,"Saint Xavier University<br>Chicago, IL<br>Crime Count: 0<br>Enrollment: 3896<br>Rate per 1000 students: 0.0","Saint Xavier University<br>Chicago, IL<br>Crime Count: 0<br>Enrollment: 3896<br>Rate per 1000 students: 0.0","Saint Xavier University<br>Chicago, IL<br>Crime Count: 2<br>Enrollment: 3896<br>Rate per 1000 students: 0.5","Saint Xavier University<br>Chicago, IL<br>Crime Count: 2<br>Enrollment: 3896<br>Rate per 1000 students: 0.5"
76,Southern Illinois University-Edwardsville,Edwardsville Campus,IL State Rte 157,EDWARDSVILLE,IL,620261001,1,"Public, 4-year or above",6479,7663,14142,2,1,0,3,"IL State Rte 157, EDWARDSVILLE, IL","[38.8117442, -89.953223]",38.8117442,-89.953223,0.2,0,0.1,0.1,"Southern Illinois University-Edwardsville<br>Edwardsville, IL<br>Crime Count: 3<br>Enrollment: 14142<br>Rate per 1000 students: 0.2","Southern Illinois University-Edwardsville<br>Edwardsville, IL<br>Crime Count: 0<br>Enrollment: 14142<br>Rate per 1000 students: 0.0","Southern Illinois University-Edwardsville<br>Edwardsville, IL<br>Crime Count: 1<br>Enrollment: 14142<br>Rate per 1000 students: 0.1","Southern Illinois University-Edwardsville<br>Edwardsville, IL<br>Crime Count: 2<br>Enrollment: 14142<br>Rate per 1000 students: 0.1"
77,Valparaiso University,VALPARAISO UNIVERSITY,"1700 CHAPEL DRIVE, US HWY 30",VALPARAISO,IN,463839978,2,"Private nonprofit, 4-year or above",2076,2336,4412,2,1,0,0,"1700 CHAPEL DRIVE, US HWY 30, VALPARAISO, IN","[41.463273, -87.04238099999999]",41.463273,-87.042381,0,0,0.2,0.5,"Valparaiso University<br>Valparaiso, IN<br>Crime Count: 0<br>Enrollment: 4412<br>Rate per 1000 students: 0.0","Valparaiso University<br>Valparaiso, IN<br>Crime Count: 0<br>Enrollment: 4412<br>Rate per 1000 students: 0.0","Valparaiso University<br>Valparaiso, IN<br>Crime Count: 1<br>Enrollment: 4412<br>Rate per 1000 students: 0.2","Valparaiso University<br>Valparaiso, IN<br>Crime Count: 2<br>Enrollment: 4412<br>Rate per 1000 students: 0.5"
78,Vincennes University,Main Campus,1002 N FIRST ST,VINCENNES,IN,47591,1,"Public, 4-year or above",10216,8681,18897,3,1,1,1,"1002 N FIRST ST, VINCENNES, IN","[38.6878205, -87.5215703]",38.6878205,-87.5215703,0.1,0.1,0.1,0.2,"Vincennes University<br>Vincennes, IN<br>Crime Count: 1<br>Enrollment: 18897<br>Rate per 1000 students: 0.1","Vincennes University<br>Vincennes, IN<br>Crime Count: 1<br>Enrollment: 18897<br>Rate per 1000 students: 0.1","Vincennes University<br>Vincennes, IN<br>Crime Count: 1<br>Enrollment: 18897<br>Rate per 1000 students: 0.1","Vincennes University<br>Vincennes, IN<br>Crime Count: 3<br>Enrollment: 18897<br>Rate per 1000 students: 0.2"
79,Dordt College,Main Campus,498 4TH AVE NE,SIOUX CENTER,IA,512501697,2,"Private nonprofit, 4-year or above",792,730,1522,1,0,0,0,"498 4TH AVE NE, SIOUX CENTER, IA","[43.0815865, -96.16988260000001]",43.0815865,-96.1698826,0,0,0,0.7,"Dordt College<br>Sioux Center, IA<br>Crime Count: 0<br>Enrollment: 1522<br>Rate per 1000 students: 0.0","Dordt College<br>Sioux Center, IA<br>Crime Count: 0<br>Enrollment: 1522<br>Rate per 1000 students: 0.0","Dordt College<br>Sioux Center, IA<br>Crime Count: 0<br>Enrollment: 1522<br>Rate per 1000 students: 0.0","Dordt College<br>Sioux Center, IA<br>Crime Count: 1<br>Enrollment: 1522<br>Rate per 1000 students: 0.7"
80,Grinnell College,Main Campus,1115 8th Avenue,GRINNELL,IA,501121690,2,"Private nonprofit, 4-year or above",770,929,1699,5,6,0,0,"1115 8th Avenue, GRINNELL, IA","[41.7494722, -92.71990439999999]",41.7494722,-92.7199044,0,0,3.5,2.9,"Grinnell College<br>Grinnell, IA<br>Crime Count: 0<br>Enrollment: 1699<br>Rate per 1000 students: 0.0","Grinnell College<br>Grinnell, IA<br>Crime Count: 0<br>Enrollment: 1699<br>Rate per 1000 students: 0.0","Grinnell College<br>Grinnell, IA<br>Crime Count: 6<br>Enrollment: 1699<br>Rate per 1000 students: 3.5","Grinnell College<br>Grinnell, IA<br>Crime Count: 5<br>Enrollment: 1699<br>Rate per 1000 students: 2.9"
81,Iowa Central Community College,Main Campus,One Triton Circle,FORT DODGE,IA,50501,4,"Public, 2-year",2825,2887,5712,1,0,0,0,"One Triton Circle, FORT DODGE, IA","[42.4873339, -94.20569400000001]",42.4873339,-94.205694,0,0,0,0.2,"Iowa Central Community College<br>Fort Dodge, IA<br>Crime Count: 0<br>Enrollment: 5712<br>Rate per 1000 students: 0.0","Iowa Central Community College<br>Fort Dodge, IA<br>Crime Count: 0<br>Enrollment: 5712<br>Rate per 1000 students: 0.0","Iowa Central Community College<br>Fort Dodge, IA<br>Crime Count: 0<br>Enrollment: 5712<br>Rate per 1000 students: 0.0","Iowa Central Community College<br>Fort Dodge, IA<br>Crime Count: 1<br>Enrollment: 5712<br>Rate per 1000 students: 0.2"
82,Iowa Western Community College,Main Campus,2700 COLLEGE RD BOX 4C,COUNCIL BLUFFS,IA,515023004,4,"Public, 2-year",2648,3433,6081,3,0,2,1,"2700 COLLEGE RD BOX 4C, COUNCIL BLUFFS, IA","[41.272829, -95.801108]",41.272829,-95.801108,0.2,0.3,0,0.5,"Iowa Western Community College<br>Council Bluffs, IA<br>Crime Count: 1<br>Enrollment: 6081<br>Rate per 1000 students: 0.2","Iowa Western Community College<br>Council Bluffs, IA<br>Crime Count: 2<br>Enrollment: 6081<br>Rate per 1000 students: 0.3","Iowa Western Community College<br>Council Bluffs, IA<br>Crime Count: 0<br>Enrollment: 6081<br>Rate per 1000 students: 0.0","Iowa Western Community College<br>Council Bluffs, IA<br>Crime Count: 3<br>Enrollment: 6081<br>Rate per 1000 students: 0.5"
83,University of Northern Iowa,Main Campus,1222 W 27TH ST,CEDAR FALLS,IA,50614,1,"Public, 4-year or above",4862,7043,11905,8,9,0,5,"1222 W 27TH ST, CEDAR FALLS, IA","[42.5131325, -92.46564889999999]",42.5131325,-92.4656489,0.4,0,0.8,0.7,"University of Northern Iowa<br>Cedar Falls, IA<br>Crime Count: 5<br>Enrollment: 11905<br>Rate per 1000 students: 0.4","University of Northern Iowa<br>Cedar Falls, IA<br>Crime Count: 0<br>Enrollment: 11905<br>Rate per 1000 students: 0.0","University of Northern Iowa<br>Cedar Falls, IA<br>Crime Count: 9<br>Enrollment: 11905<br>Rate per 1000 students: 0.8","University of Northern Iowa<br>Cedar Falls, IA<br>Crime Count: 8<br>Enrollment: 11905<br>Rate per 1000 students: 0.7"
84,Southwestern Community College,Main Campus,1501 West Townline Street,CRESTON,IA,50801,4,"Public, 2-year",724,922,1646,0,1,0,0,"1501 West Townline Street, CRESTON, IA","[41.0732022, -94.3808459]",41.0732022,-94.3808459,0,0,0.6,0,"Southwestern Community College<br>Creston, IA<br>Crime Count: 0<br>Enrollment: 1646<br>Rate per 1000 students: 0.0","Southwestern Community College<br>Creston, IA<br>Crime Count: 0<br>Enrollment: 1646<br>Rate per 1000 students: 0.0","Southwestern Community College<br>Creston, IA<br>Crime Count: 1<br>Enrollment: 1646<br>Rate per 1000 students: 0.6","Southwestern Community College<br>Creston, IA<br>Crime Count: 0<br>Enrollment: 1646<br>Rate per 1000 students: 0.0"
