,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long,Assault,Robbery,Fondling,Rape,AGG_A16_hover_text,ROBBE16_hover_text,FONDL16_hover_text,RAPE16_hover_text
2904,Tulane University of Louisiana,Tulane University Health Sciences Center Campus,1430 Tulane Avenue,New Orleans,LA,701122632,2,"Private nonprofit, 4-year or above",5442.0,7139.0,12581.0,0,0,1,2,"1430 Tulane Avenue, New Orleans, LA, 701122632","[29.95504, -90.0768769]",29.95504,-90.0768769,0.2,0.1,0.0,0.0,"Tulane University of Louisiana<br>New Orleans, LA<br>Crime Count: 2<br>Enrollment: 12581<br>Rate per 1000 students: 0.2","Tulane University of Louisiana<br>New Orleans, LA<br>Crime Count: 1<br>Enrollment: 12581<br>Rate per 1000 students: 0.1","Tulane University of Louisiana<br>New Orleans, LA<br>Crime Count: 0<br>Enrollment: 12581<br>Rate per 1000 students: 0.0","Tulane University of Louisiana<br>New Orleans, LA<br>Crime Count: 0<br>Enrollment: 12581<br>Rate per 1000 students: 0.0"
2909,Xavier University of Louisiana,Xavier University of Louisiana - Main Campus,1 Drexel Drive,NEW ORLEANS,LA,70125,2,"Private nonprofit, 4-year or above",813.0,2184.0,2997.0,0,0,1,0,"1 Drexel Drive, NEW ORLEANS, LA, 70125","[29.9654259, -90.1093959]",29.9654259,-90.1093959,0.0,0.3,0.0,0.0,"Xavier University of Louisiana<br>New Orleans, LA<br>Crime Count: 0<br>Enrollment: 2997<br>Rate per 1000 students: 0.0","Xavier University of Louisiana<br>New Orleans, LA<br>Crime Count: 1<br>Enrollment: 2997<br>Rate per 1000 students: 0.3","Xavier University of Louisiana<br>New Orleans, LA<br>Crime Count: 0<br>Enrollment: 2997<br>Rate per 1000 students: 0.0","Xavier University of Louisiana<br>New Orleans, LA<br>Crime Count: 0<br>Enrollment: 2997<br>Rate per 1000 students: 0.0"
2917,Bates College,Main Campus,"2 ANDREWS ROAD, 204 LANE HALL",LEWISTON,ME,04240,2,"Private nonprofit, 4-year or above",881.0,899.0,1780.0,5,7,0,1,"2 ANDREWS ROAD, 204 LANE HALL, LEWISTON, ME, 04240","[44.1068479, -70.2041643]",44.1068479,-70.2041643,0.6,0.0,3.9,2.8,"Bates College<br>Lewiston, ME<br>Crime Count: 1<br>Enrollment: 1780<br>Rate per 1000 students: 0.6","Bates College<br>Lewiston, ME<br>Crime Count: 0<br>Enrollment: 1780<br>Rate per 1000 students: 0.0","Bates College<br>Lewiston, ME<br>Crime Count: 7<br>Enrollment: 1780<br>Rate per 1000 students: 3.9","Bates College<br>Lewiston, ME<br>Crime Count: 5<br>Enrollment: 1780<br>Rate per 1000 students: 2.8"
2919,Bowdoin College,Main Campus,5700 College Station,Brunswick,ME,040118448,2,"Private nonprofit, 4-year or above",902.0,904.0,1806.0,12,6,0,0,"5700 College Station, Brunswick, ME, 040118448","[43.9070109, -69.9652364]",43.9070109,-69.9652364,0.0,0.0,3.3,6.6,"Bowdoin College<br>Brunswick, ME<br>Crime Count: 0<br>Enrollment: 1806<br>Rate per 1000 students: 0.0","Bowdoin College<br>Brunswick, ME<br>Crime Count: 0<br>Enrollment: 1806<br>Rate per 1000 students: 0.0","Bowdoin College<br>Brunswick, ME<br>Crime Count: 6<br>Enrollment: 1806<br>Rate per 1000 students: 3.3","Bowdoin College<br>Brunswick, ME<br>Crime Count: 12<br>Enrollment: 1806<br>Rate per 1000 students: 6.6"
2921,Central Maine Community College,Main Campus,1250 TURNER ST,Auburn,ME,042106498,4,"Public, 2-year",1411.0,1614.0,3025.0,1,0,0,0,"1250 TURNER ST, Auburn, ME, 042106498","[44.1327982, -70.2328833]",44.1327982,-70.2328833,0.0,0.0,0.0,0.3,"Central Maine Community College<br>Auburn, ME<br>Crime Count: 0<br>Enrollment: 3025<br>Rate per 1000 students: 0.0","Central Maine Community College<br>Auburn, ME<br>Crime Count: 0<br>Enrollment: 3025<br>Rate per 1000 students: 0.0","Central Maine Community College<br>Auburn, ME<br>Crime Count: 0<br>Enrollment: 3025<br>Rate per 1000 students: 0.0","Central Maine Community College<br>Auburn, ME<br>Crime Count: 1<br>Enrollment: 3025<br>Rate per 1000 students: 0.3"
2922,Colby College,Main Campus,MAYFLOWER HILL DRIVE,WATERVILLE,ME,04901,2,"Private nonprofit, 4-year or above",894.0,985.0,1879.0,7,6,0,1,"MAYFLOWER HILL DRIVE, WATERVILLE, ME, 04901","[44.55605130000001, -69.6532139]",44.5560513,-69.6532139,0.5,0.0,3.2,3.7,"Colby College<br>Waterville, ME<br>Crime Count: 1<br>Enrollment: 1879<br>Rate per 1000 students: 0.5","Colby College<br>Waterville, ME<br>Crime Count: 0<br>Enrollment: 1879<br>Rate per 1000 students: 0.0","Colby College<br>Waterville, ME<br>Crime Count: 6<br>Enrollment: 1879<br>Rate per 1000 students: 3.2","Colby College<br>Waterville, ME<br>Crime Count: 7<br>Enrollment: 1879<br>Rate per 1000 students: 3.7"
2935,University of Maine at Farmington,University of Maine at Farmington,224 MAIN ST,FARMINGTON,ME,04938,1,"Public, 4-year or above",651.0,1349.0,2000.0,3,0,0,0,"224 MAIN ST, FARMINGTON, ME, 04938","[44.66884049999999, -70.1491262]",44.6688405,-70.1491262,0.0,0.0,0.0,1.5,"University of Maine at Farmington<br>Farmington, ME<br>Crime Count: 0<br>Enrollment: 2000<br>Rate per 1000 students: 0.0","University of Maine at Farmington<br>Farmington, ME<br>Crime Count: 0<br>Enrollment: 2000<br>Rate per 1000 students: 0.0","University of Maine at Farmington<br>Farmington, ME<br>Crime Count: 0<br>Enrollment: 2000<br>Rate per 1000 students: 0.0","University of Maine at Farmington<br>Farmington, ME<br>Crime Count: 3<br>Enrollment: 2000<br>Rate per 1000 students: 1.5"
2937,University of Maine at Machias,University of Maine at Machias,116 O'BRIEN AVE,MACHIAS,ME,04654,1,"Public, 4-year or above",233.0,512.0,745.0,1,1,0,0,"116 O'BRIEN AVE, MACHIAS, ME, 04654","[44.7078391, -67.45599469999999]",44.7078391,-67.4559947,0.0,0.0,1.3,1.3,"University of Maine at Machias<br>Machias, ME<br>Crime Count: 0<br>Enrollment: 745<br>Rate per 1000 students: 0.0","University of Maine at Machias<br>Machias, ME<br>Crime Count: 0<br>Enrollment: 745<br>Rate per 1000 students: 0.0","University of Maine at Machias<br>Machias, ME<br>Crime Count: 1<br>Enrollment: 745<br>Rate per 1000 students: 1.3","University of Maine at Machias<br>Machias, ME<br>Crime Count: 1<br>Enrollment: 745<br>Rate per 1000 students: 1.3"
2938,University of Maine,University of Maine,168 College Ave,ORONO,ME,04469,1,"Public, 4-year or above",5621.0,5598.0,11219.0,25,7,1,0,"168 College Ave, ORONO, ME, 04469","[44.8955674, -68.6735534]",44.8955674,-68.6735534,0.0,0.1,0.6,2.2,"University of Maine<br>Orono, ME<br>Crime Count: 0<br>Enrollment: 11219<br>Rate per 1000 students: 0.0","University of Maine<br>Orono, ME<br>Crime Count: 1<br>Enrollment: 11219<br>Rate per 1000 students: 0.1","University of Maine<br>Orono, ME<br>Crime Count: 7<br>Enrollment: 11219<br>Rate per 1000 students: 0.6","University of Maine<br>Orono, ME<br>Crime Count: 25<br>Enrollment: 11219<br>Rate per 1000 students: 2.2"
2943,University of New England,Main Campus,11 HILLS BEACH RD,BIDDEFORD,ME,04005,2,"Private nonprofit, 4-year or above",2248.0,6015.0,8263.0,1,3,0,0,"11 HILLS BEACH RD, BIDDEFORD, ME, 04005","[43.4583065, -70.3870337]",43.4583065,-70.3870337,0.0,0.0,0.4,0.1,"University of New England<br>Biddeford, ME<br>Crime Count: 0<br>Enrollment: 8263<br>Rate per 1000 students: 0.0","University of New England<br>Biddeford, ME<br>Crime Count: 0<br>Enrollment: 8263<br>Rate per 1000 students: 0.0","University of New England<br>Biddeford, ME<br>Crime Count: 3<br>Enrollment: 8263<br>Rate per 1000 students: 0.4","University of New England<br>Biddeford, ME<br>Crime Count: 1<br>Enrollment: 8263<br>Rate per 1000 students: 0.1"
2950,Saint Joseph's College of Maine,Saint Joseph's College,278 WHITES BRIDGE RD,STANDISH,ME,040845263,2,"Private nonprofit, 4-year or above",731.0,1371.0,2102.0,3,0,0,0,"278 WHITES BRIDGE RD, STANDISH, ME, 040845263","[43.8270194, -70.4826594]",43.8270194,-70.4826594,0.0,0.0,0.0,1.4,"Saint Joseph's College of Maine<br>Standish, ME<br>Crime Count: 0<br>Enrollment: 2102<br>Rate per 1000 students: 0.0","Saint Joseph's College of Maine<br>Standish, ME<br>Crime Count: 0<br>Enrollment: 2102<br>Rate per 1000 students: 0.0","Saint Joseph's College of Maine<br>Standish, ME<br>Crime Count: 0<br>Enrollment: 2102<br>Rate per 1000 students: 0.0","Saint Joseph's College of Maine<br>Standish, ME<br>Crime Count: 3<br>Enrollment: 2102<br>Rate per 1000 students: 1.4"
2952,Southern Maine Community College,Southern Maine Community College,2 FORT RD,SOUTH PORTLAND,ME,041061698,4,"Public, 2-year",2800.0,3132.0,5932.0,6,1,0,0,"2 FORT RD, SOUTH PORTLAND, ME, 041061698","[43.6490443, -70.2286139]",43.6490443,-70.2286139,0.0,0.0,0.2,1.0,"Southern Maine Community College<br>South Portland, ME<br>Crime Count: 0<br>Enrollment: 5932<br>Rate per 1000 students: 0.0","Southern Maine Community College<br>South Portland, ME<br>Crime Count: 0<br>Enrollment: 5932<br>Rate per 1000 students: 0.0","Southern Maine Community College<br>South Portland, ME<br>Crime Count: 1<br>Enrollment: 5932<br>Rate per 1000 students: 0.2","Southern Maine Community College<br>South Portland, ME<br>Crime Count: 6<br>Enrollment: 5932<br>Rate per 1000 students: 1.0"
2954,University of Southern Maine,Gorham Campus,37 College Ave.,Gorham,ME,040381038,1,"Public, 4-year or above",3122.0,4733.0,7855.0,5,1,1,0,"37 College Ave., Gorham, ME, 040381038","[43.6815579, -70.44595939999999]",43.6815579,-70.4459594,0.0,0.1,0.1,0.6,"University of Southern Maine<br>Gorham, ME<br>Crime Count: 0<br>Enrollment: 7855<br>Rate per 1000 students: 0.0","University of Southern Maine<br>Gorham, ME<br>Crime Count: 1<br>Enrollment: 7855<br>Rate per 1000 students: 0.1","University of Southern Maine<br>Gorham, ME<br>Crime Count: 1<br>Enrollment: 7855<br>Rate per 1000 students: 0.1","University of Southern Maine<br>Gorham, ME<br>Crime Count: 5<br>Enrollment: 7855<br>Rate per 1000 students: 0.6"
2958,Unity College,Unity College,90 Quaker Hill Road,UNITY,ME,04988,2,"Private nonprofit, 4-year or above",358.0,381.0,739.0,0,8,0,0,"90 Quaker Hill Road, UNITY, ME, 04988","[44.6050718, -69.3301614]",44.6050718,-69.3301614,0.0,0.0,10.8,0.0,"Unity College<br>Unity, ME<br>Crime Count: 0<br>Enrollment: 739<br>Rate per 1000 students: 0.0","Unity College<br>Unity, ME<br>Crime Count: 0<br>Enrollment: 739<br>Rate per 1000 students: 0.0","Unity College<br>Unity, ME<br>Crime Count: 8<br>Enrollment: 739<br>Rate per 1000 students: 10.8","Unity College<br>Unity, ME<br>Crime Count: 0<br>Enrollment: 739<br>Rate per 1000 students: 0.0"
2961,Allegany College of Maryland,Main Campus,12401 WILLOWBROOK RD SE,CUMBERLAND,MD,215022596,4,"Public, 2-year",1012.0,1918.0,2930.0,0,0,1,0,"12401 WILLOWBROOK RD SE, CUMBERLAND, MD, 215022596","[39.6526818, -78.7330738]",39.6526818,-78.7330738,0.0,0.3,0.0,0.0,"Allegany College of Maryland<br>Cumberland, MD<br>Crime Count: 0<br>Enrollment: 2930<br>Rate per 1000 students: 0.0","Allegany College of Maryland<br>Cumberland, MD<br>Crime Count: 1<br>Enrollment: 2930<br>Rate per 1000 students: 0.3","Allegany College of Maryland<br>Cumberland, MD<br>Crime Count: 0<br>Enrollment: 2930<br>Rate per 1000 students: 0.0","Allegany College of Maryland<br>Cumberland, MD<br>Crime Count: 0<br>Enrollment: 2930<br>Rate per 1000 students: 0.0"
2962,Anne Arundel Community College,Anne Arundel Community College,101 COLLEGE PKY,ARNOLD,MD,210121895,4,"Public, 2-year",5710.0,8194.0,13904.0,0,1,0,0,"101 COLLEGE PKY, ARNOLD, MD, 210121895","[39.0490132, -76.5167488]",39.0490132,-76.5167488,0.0,0.0,0.1,0.0,"Anne Arundel Community College<br>Arnold, MD<br>Crime Count: 0<br>Enrollment: 13904<br>Rate per 1000 students: 0.0","Anne Arundel Community College<br>Arnold, MD<br>Crime Count: 0<br>Enrollment: 13904<br>Rate per 1000 students: 0.0","Anne Arundel Community College<br>Arnold, MD<br>Crime Count: 1<br>Enrollment: 13904<br>Rate per 1000 students: 0.1","Anne Arundel Community College<br>Arnold, MD<br>Crime Count: 0<br>Enrollment: 13904<br>Rate per 1000 students: 0.0"
2970,Bowie State University,Main Campus,14000 JERICHO PARK RD,BOWIE,MD,207159465,1,"Public, 4-year or above",2093.0,3576.0,5669.0,0,0,2,1,"14000 JERICHO PARK RD, BOWIE, MD, 207159465","[39.0167504, -76.7612748]",39.0167504,-76.7612748,0.2,0.4,0.0,0.0,"Bowie State University<br>Bowie, MD<br>Crime Count: 1<br>Enrollment: 5669<br>Rate per 1000 students: 0.2","Bowie State University<br>Bowie, MD<br>Crime Count: 2<br>Enrollment: 5669<br>Rate per 1000 students: 0.4","Bowie State University<br>Bowie, MD<br>Crime Count: 0<br>Enrollment: 5669<br>Rate per 1000 students: 0.0","Bowie State University<br>Bowie, MD<br>Crime Count: 0<br>Enrollment: 5669<br>Rate per 1000 students: 0.0"
